asset,Sample Portfolio,Portfolio 2,Portfolio 3
SPY,0.7409212870787119,0.0,0.0
GLD,0.12961527567364742,0.05603493258445977,0.04400664651190827
TLT,0.12946343724764067,0.0,0.0
QQQ,0.0,0.268680170991884,0.4252563330718527
SLV,0.0,0.13829635568081855,0.12294762638332973
GDX,0.0,0.16138493972473608,0.0
AIA,0.0,0.2040748414190724,0.0
XLF,0.0,0.07477114739503203,0.0
XLE,0.0,0.09675761220399724,0.09916524900426212
EWY,0.0,0.0,0.1660243368444266
EWJ,0.0,0.0,0.07151167189430097
INDY,0.0,0.0,0.07108813628991957
