year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ytd,portfolio
2020,0.024139220022415933,-0.03372350206694642,-0.05535672463556166,0.0849321037866611,0.026963719552517366,0.01649436706841458,0.06638885741973823,0.02589504333343969,-0.028969840397497636,-0.022514303015979814,0.052522541258785596,0.03352092841797122,0.19592303562443858,Sample Portfolio
2021,-0.019827480584545133,-0.006780738543195901,0.016545325548653,0.04491519288164276,0.01806340237175953,0.008233623823722993,0.026781194567528626,0.018611703642477738,-0.04113422848037934,0.05267950176604291,-0.0018009388986684454,0.032491514500225416,0.15487677447494663,Sample Portfolio
2022,-0.042830110037877865,-0.008228966745038275,0.013797617623101017,-0.07424332447949585,-0.010348278160203138,-0.0547798855749712,0.0514863775072065,-0.039175023742189105,-0.07654865312547031,0.03280621624656874,0.06469423381579618,-0.03283296406807164,-0.17306553859031637,Sample Portfolio
2023,0.06453819930624917,-0.03553704395355814,0.04754008873320882,0.011984275404085516,-0.005877891973879705,0.03541738617768519,0.020010226628886837,-0.018307515952964155,-0.05311994455788188,-0.009188981098212944,0.07901794933400566,0.046082595695214085,0.1879737316421306,Sample Portfolio
2024,0.002219980361190887,0.028244570159885487,0.038463805577531304,-0.030560339689622382,0.039461829504151946,0.024688987416273636,0.024701547965375933,0.022464806311522836,0.027076136515961594,-0.005637594915649136,0.03277304944626037,-0.028356092095596037,0.18652629562365708,Sample Portfolio
2025,0.030669902208832724,0.00729553538905806,-0.01532473149878559,0.0049642752298564834,0.028226049101509873,0.03545504360487518,0.00984275695807029,0.023415422703635336,0.05472187511000029,0.024959005558873853,0.014956018393059756,0.0014767017626285059,0.24216200649280717,Sample Portfolio
2026,0.03332020941295553,0.022822898292464033,-0.062098867496827324,0.05573517268890385,0.029743107809030396,-0.027038303978049585,-0.006880863748543402,0.03623751425484826,,,,,0.07902799988057829,Sample Portfolio
2020,-0.011859528139738798,-0.06264025074636399,-0.11871895511395891,0.1443770389751988,0.05314705195410345,0.05120393623990096,0.10404882846985547,0.061392707536062664,-0.0660382202910379,-0.010302695656365272,0.06340527876040214,0.06956626579251703,0.27405133773207035,Portfolio 2
2021,0.01193985618110317,0.019708898265698757,0.004151477037269294,0.03882270489742985,0.033754901614375166,-0.0047488428212188885,-0.016368250832440565,0.0036427937768841144,-0.03761244774665855,0.06577324014272792,-0.018738332328342863,0.0200197604773512,0.12238482086983593,Portfolio 2
2022,-0.01584563305195271,0.009229247861000206,0.029287618167123504,-0.07980288106040379,0.004958091885532149,-0.0896273978204757,0.03837622238780571,-0.0374186984852131,-0.07717135186993113,0.04939727958933551,0.10603380288219083,-0.022780100205785178,-0.0995664660670349,Portfolio 2
