point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD
1,0.16905206771870937,0.10552907619312626,1.238116023051218,0.004669053244043631,0.10047211635257917,0.115715435856233,0.43527395218207404,0.0,0.0,0.34386944236507017
2,0.16964442650943645,0.10553550241688198,1.2436535186497983,0.008589501937899625,0.10508139772517677,0.11248345818195457,0.43602598697622696,0.0,0.0,0.33781965517874213
3,0.1702367853001635,0.1055547787407603,1.249038265124471,0.012509950631755704,0.10969067909777373,0.10925148050767633,0.4367780217703798,0.0,0.0,0.3317698679924145
4,0.17082914409089056,0.10558689812687998,1.2542684637400952,0.016430399325611886,0.11429996047037126,0.1060195028333978,0.4375300565645327,0.0,0.0,0.3257200808060863
5,0.1714215028816177,0.10563184885970477,1.2593424874356838,0.020350848019467894,0.11890924184296918,0.1027875251591193,0.4382820913586857,0.0,0.0,0.31967029361975796
6,0.17201386167234473,0.10568961456737837,1.2642588832695019,0.024271296713323606,0.12351852321556595,0.09955554748484124,0.4390341261528386,0.0,0.0,0.3136205064334307
7,0.1726062204630718,0.10576017425146667,1.2690163743277274,0.028191745407179888,0.12812780458816356,0.09632356981056271,0.43978616094699147,0.0,0.0,0.30757071924710233
8,0.17319857925379886,0.10584350232498116,1.2736138610917414,0.03211219410103563,0.13273708596076053,0.09309159213628461,0.4405381957411443,0.0,0.0,0.301520932060775
9,0.17379093804452592,0.1059395686585239,1.2780504222623625,0.036032642794891795,0.13734636733335778,0.08985961446200622,0.4412902305352972,0.0,0.0,0.29547114487444703
10,0.17438329683525303,0.1060483386343606,1.282325315042556,0.03995309148874781,0.1419556487059555,0.08662763678772781,0.4420422653294501,0.0,0.0,0.2894213576881187
11,0.17497565562598005,0.10616977320819727,1.286437974883306,0.04387354018260378,0.14656493007855248,0.08339565911344952,0.44279430012360305,0.0,0.0,0.2833715705017911
12,0.17556801441670716,0.10630382897840596,1.2903880147004392,0.04779398887645972,0.15117421145115006,0.0801636814391712,0.44354633491775597,0.0,0.0,0.2773217833154632
13,0.17616037320743422,0.10645045826241623,1.2941752235731552,0.05171443757031587,0.1557834928237474,0.07693170376489272,0.4442983697119089,0.0,0.0,0.2712719961291351
14,0.1767527319981613,0.10660960917996448,1.2977995649378713,0.05563488626417194,0.16039277419634462,0.0736997260906144,0.4450504045060618,0.0,0.0,0.26522220894280724
15,0.1773450907888884,0.10678122574286751,1.3012611742936724,0.05955533495802814,0.16500205556894224,0.07046774841633593,0.4458024393002148,0.0,0.0,0.2591724217564789
16,0.17793744957961544,0.10696524795096675,1.3045603564381527,0.06347578365188437,0.1696113369415393,0.06723577074205755,0.4465544740943676,0.0,0.0,0.2531226345701511
17,0.17852980837034252,0.10716161189387023,1.3076975822547467,0.0673962323457401,0.17422061831413638,0.0640037930677795,0.44730650888852047,0.0,0.0,0.24707284738382362
18,0.1791221671610696,0.107370249858102,1.3106734850747268,0.07131668103959672,0.17882989968673385,0.060771815393500746,0.44805854368267345,0.0,0.0,0.2410230601974952
19,0.17971452595179666,0.1075910904392559,1.3134888566388914,0.07523712973345197,0.18343918105933157,0.057539837719222706,0.44881057847682637,0.0,0.0,0.23497327301116744
20,0.1803068847425237,0.10782405865873877,1.3161446426855992,0.07915757842730815,0.18804846243192871,0.05430786004494426,0.44956261327097924,0.0,0.0,0.22892348582483968
21,0.18089924353325085,0.10806907608467949,1.3186419381931425,0.08307802712116433,0.19265774380452627,0.05107588237066577,0.45031464806513216,0.0,0.0,0.2228736986385114
22,0.1814916023239779,0.10832606095657435,1.3209819823055828,0.08699847581502021,0.19726702517712374,0.04784390469638749,0.4510666828592851,0.0,0.0,0.21682391145218352
23,0.18208396111470493,0.1085949283132356,1.3231661529720367,0.09091892450887612,0.20187630654972072,0.04461192702210927,0.45181871765343795,0.0,0.0,0.21077412426585598
24,0.18267631990543204,0.10887559012360948,1.3251959613299764,0.09483937320273203,0.20648558792231822,0.04137994934783087,0.4525707524475909,0.0,0.0,0.204724337079528
25,0.1832686786961591,0.10916726025857072,1.3270814964743807,0.09860775386268508,0.21049956713301063,0.038650554870949545,0.45373926361296707,0.0016178066975992664,0.0,0.1968850538227884
26,0.1838610374868862,0.10946738772707026,1.3288543092246174,0.10229099926968412,0.21418026656861403,0.036202531478722516,0.4551409389766508,0.004141342093694332,0.0,0.18804392161263414
27,0.18445339627761326,0.10977568648351131,1.3305183813479944,0.105974244676683,0.21786096600421703,0.03375450808649554,0.4565426143403345,0.006664877489789213,0.0,0.17920278940248077
28,0.1850457550683403,0.11009208787998716,1.3320750864676083,0.10965749008368189,0.22154166543982012,0.031306484694268576,0.45794428970401824,0.009188412885884184,0.0,0.170361657192327
29,0.18563811385906742,0.11041652226154693,1.33352584610554,0.11334073549068112,0.22522236487542355,0.02885846130204134,0.459345965067702,0.011711948281979325,0.0,0.16152052498217262
30,0.18623047264979445,0.11074891903131956,1.3348721265783183,0.11702398089767987,0.22890306431102658,0.026410437909814555,0.4607476404313856,0.014235483678074189,0.0,0.1526793927720192
31,0.1868228314405215,0.11108920671509039,1.3361154359035683,0.12070722630467912,0.2325837637466293,0.023962414517587547,0.46214931579506935,0.016759019074169094,0.0,0.1438382605618656
32,0.18741519023124856,0.11143731302522332,1.3372573207262417,0.12439047171167822,0.2362644631822324,0.021514391125360452,0.463550991158753,0.019282554470264026,0.0,0.13499712835171193
33,0.1880075490219757,0.11179316492382867,1.3382993632724225,0.12807371711867752,0.23994516261783602,0.01906636773313319,0.4649526665224369,0.02180608986635938,0.0,0.1261559961415569
34,0.18859990781270275,0.11215668868508162,1.3392431783381922,0.1317569625256761,0.24362586205343917,0.016618344340906307,0.4663543418861207,0.02432962526245425,0.0,0.1173148639314035
35,0.18919226660342983,0.1125278099566036,1.3400904103205957,0.1354402079326748,0.2473065614890423,0.014170320948679507,0.4677560172498042,0.026853160658549043,0.0,0.10847373172125023
36,0.18978462539415686,0.1129064538198233,1.34084273029723,0.139123453339674,0.25098726092464546,0.011722297556452247,0.46915769261348794,0.029376696054644123,0.0,0.09963259951109607
37,0.19037698418488394,0.11329254484924199,1.3415018331605064,0.1428066987466731,0.25466796036024825,0.009274274164225448,0.4705593679771716,0.031900231450739024,0.0,0.0907914673009426
38,0.19096934297561105,0.11368600717053244,1.3420694348121291,0.14648994415367278,0.2583486597958513,0.006826250771998108,0.4719610433408554,0.03442376684683411,0.0,0.08195033509078835
39,0.1915617017663381,0.11408676451740755,1.3425472694228324,0.15017318956067144,0.26202935923145465,0.0043782273797711895,0.4733627187045393,0.03694730224292917,0.0,0.07310920288063437
40,0.19215406055706516,0.11449474028720129,1.3429370867619332,0.15385643496767032,0.26571005866705794,0.001930203987544206,0.4747643940682229,0.03947083763902414,0.0,0.06426807067048051
41,0.1927464193477923,0.11490989659166864,1.3432401937499996,0.15740157330917645,0.26954105859324423,0.0,0.4760149824668731,0.042087090265462,0.0,0.054955295365244274
42,0.19333877813851932,0.11533331391819195,1.3434448841227005,0.16043190898760717,0.27393231293173964,0.0,0.4767023848208589,0.04504895212574285,0.0,0.04388444113405136
43,0.19393113692924638,0.11576543946419554,1.3435470038633115,0.1634622446660381,0.27832356727023466,0.0,0.47738978717484476,0.048010813986023596,0.0,0.03281358690285884
44,0.1945234957199735,0.11620617608228194,1.3435487974685336,0.16649258034446845,0.28271482160873046,0.0,0.47807718952883066,0.05097267584630444,0.0,0.021742732671666036
45,0.19511585451070054,0.11665542617185103,1.3434525256769447,0.1695229160228996,0.28710607594722515,0.0,0.4787645918828165,0.05393453770658521,0.0,0.010671878440473553
46,0.19570821330142762,0.11711311216045055,1.3432602277676124,0.17258957886532858,0.2915692911769409,0.0,0.47911474406280397,0.0567263858949266,0.0,0.0
47,0.19630057209215468,0.11759586751353171,1.3427831083245987,0.17662792742728423,0.2979573296702097,0.0,0.4704440660454181,0.054970676857087904,0.0,0.0
48,0.19689293088288176,0.11811785808109242,1.3418640150743324,0.18066627598923904,0.30434536816347824,0.0,0.4617733880280334,0.05321496781924934,0.0,0.0
49,0.19748528967360882,0.11867856615295463,1.3405155391106078,0.18470462455119466,0.31073340665674676,0.0,0.453102710010648,0.051459258781410624,0.0,0.0
50,0.19807764846433595,0.11927744571220722,1.3387511773467382,0.18874297311314958,0.3171214451500167,0.0,0.44443203199326187,0.0497035497435718,0.0,0.0
51,0.19867000725506298,0.11991392484689585,1.3365852203861464,0.192781321675105,0.32350948364328513,0.0,0.4357613539758766,0.04794784070573318,0.0,0.0
