portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-04-30,2022-12-31,2023-04-30,13,-10.2795980883281
optimized,2,2026-06-30,2026-07-31,,3,-7.828293244221496
optimized,3,2026-03-31,2026-03-31,2026-05-31,3,-4.955750408614657
optimized,4,2022-01-31,2022-01-31,2022-03-31,3,-4.425722504210727
optimized,5,2023-09-30,2023-10-31,2023-11-30,3,-3.0958258776821013
optimized,6,2025-04-30,2025-04-30,2025-05-31,2,-0.8376485580637638
optimized,7,2025-02-28,2025-02-28,2025-03-31,2,-0.27279380410268894
provided,1,2022-01-31,2022-12-31,2024-03-31,27,-15.777787877676165
provided,2,2026-06-30,2026-07-31,,3,-8.398030205983387
provided,3,2026-03-31,2026-03-31,2026-05-31,3,-6.006556473034863
provided,4,2025-04-30,2025-05-31,2025-06-30,3,-1.4265943121118174
provided,5,2024-08-31,2024-08-31,2024-09-30,2,-0.6388627236756261
benchmark,1,2022-01-31,2022-06-30,2023-04-30,16,-13.403065561027617
benchmark,2,2025-02-28,2025-04-30,2025-07-31,6,-8.72715880079883
benchmark,3,2026-07-31,2026-07-31,,2,-8.234183406494822
benchmark,4,2023-09-30,2023-10-31,2023-12-31,4,-5.163039774446954
benchmark,5,2025-12-31,2026-03-31,2026-04-30,5,-1.5483721436609588
benchmark,6,2024-04-30,2024-04-30,2024-05-31,2,-1.4966213342797352
benchmark,7,2023-05-31,2023-05-31,2023-06-30,2,-0.8622288468976502
benchmark,8,2024-07-31,2024-08-31,2024-09-30,3,-0.4621222689090154
benchmark,9,2023-07-31,2023-07-31,2023-08-31,2,-0.25010605863751145
