date,Portfolio 1_balance,benchmark_balance
2004-12-01,10000.0,10000.0
2004-12-31,10104.94137693301,10301.212830085262
2005-01-31,9745.053251625442,10070.24878521377
2005-02-28,9869.473601537227,10280.759054211852
2005-03-31,9711.328863358185,10092.695325079743
2005-04-30,9590.5742651678,9903.607269001746
2005-05-31,9843.072936643266,10222.745338830586
2005-06-30,9880.986698108827,10238.228768150002
2005-07-31,10156.154761742067,10629.961071721578
2005-08-31,10142.994457665582,10530.316126760605
2005-09-30,10418.484312813262,10614.824545224854
2005-10-31,10264.840349321104,10363.776754157489
2005-11-30,10773.562844679958,10819.288105299656
2005-12-31,10887.932670293938,10798.581861260844
2006-01-31,11411.466362761625,11057.89846655462
2006-02-28,11318.49027848519,11121.212086171436
2006-03-31,11553.09710226197,11304.753551562193
2006-04-30,12000.006961319292,11447.557062141668
2006-05-31,11582.077061099822,11102.742401720025
2006-06-30,11429.37098050655,11131.703005700965
2006-07-31,11424.278751921613,11181.55486855949
2006-08-31,11635.519145499351,11425.563423183095
2006-09-30,11747.748341987317,11734.069885115427
2006-10-31,12078.109850241708,12103.892384577244
2006-11-30,12539.865398009111,12344.580308292543
2006-12-31,12434.551834115744,12509.644380280275
2007-01-31,12659.937357257342,12697.790017023299
2007-02-28,12644.335775016842,12448.692590714612
2007-03-31,12664.235289443002,12592.956947625196
2007-04-30,13130.316205539559,13150.772832035635
2007-05-31,13278.902090492524,13596.85131725748
2007-06-30,13156.346314277198,13398.049018525198
2007-07-31,13150.003144034525,12978.560634662577
2007-08-31,13385.380237382189,13145.108679836261
2007-09-30,14174.89560296264,13654.00933900944
2007-10-31,14842.89648749729,13839.252555469286
2007-11-30,14355.860834908763,13303.219277466953
2007-12-31,14591.316723261443,13153.420856915505
2008-01-31,14329.734000938875,12358.147099516596
2008-02-29,14253.563191340842,12038.778724758247
2008-03-31,14057.922751773769,11931.128997163689
2008-04-30,14386.211645918465,12499.79426735377
2008-05-31,14721.69767276038,12688.74259868374
2008-06-30,14144.294265955064,11628.27608762226
2008-07-31,14082.317116109896,11523.785102952088
2008-08-31,13837.887998617674,11701.869594218137
2008-09-30,12969.081481357958,10599.863397377381
2008-10-31,11085.286922178308,8848.906090129596
2008-11-30,10976.70931232763,8232.967601396325
2008-12-31,11395.19211407302,8313.612871482337
2009-01-31,11181.284640137912,7630.950515661413
2009-02-28,10684.524260736502,6811.011485759738
2009-03-31,11236.332452751576,7378.44043283451
2009-04-30,11868.247457746293,8111.462960511092
2009-05-31,12530.295852159632,8585.605884088593
2009-06-30,12435.69330671521,8579.979313028343
2009-07-31,13127.983059148062,9220.098855741044
2009-08-31,13343.49946133787,9560.686119820626
2009-09-30,13960.112370431283,9899.678594534782
2009-10-31,13905.71548235957,9709.359997055186
2009-11-30,14988.99001816312,10307.521643363476
2009-12-31,14918.928265545008,10504.401522286682
2010-01-31,14445.753223397684,10122.649420200118
2010-02-28,14927.177699725733,10438.420605410958
2010-03-31,15509.693529556607,11073.90803182179
2010-04-30,15985.400789560174,11245.22213633166
2010-05-31,15443.077633246387,10351.739226210135
2010-06-30,15082.710936382491,9816.128976927692
2010-07-31,15503.716804214891,10486.575535295155
2010-08-31,15373.338672902133,10014.885021950286
2010-09-30,16614.098860421702,10911.764688877323
2010-10-31,17303.816746454857,11328.619502144353
2010-11-30,17388.92559526195,11328.619502144353
2010-12-31,18053.29369050528,12085.962326738914
2011-01-31,17986.72914771138,12367.5664747716
2011-02-28,18664.64351310091,12797.181530199927
2011-03-31,18726.817892132833,12798.720429666137
2011-04-30,19587.934263155705,13169.392841043547
2011-05-31,19394.208794470967,13021.7047459968
2011-06-30,19026.898444004964,12802.030460765976
2011-07-31,19548.56125871347,12545.933306390558
2011-08-31,19739.679094271632,11856.20955088998
2011-09-30,18451.69168628072,11033.142132060904
2011-10-31,19932.941233196954,12237.379627129585
2011-11-30,19858.920904132596,12187.647253021101
2011-12-31,19288.81861050607,12314.993351992862
2012-01-31,20720.35424960642,12886.086941941776
2012-02-29,21181.52811257881,13445.41281724987
2012-03-31,21589.372270162694,13877.872475824257
2012-04-30,21514.97346212033,13785.233040643725
2012-05-31,20325.58737834419,12957.345599817156
2012-06-30,20929.010166974575,13483.169335023918
2012-07-31,21147.836484080963,13642.666580326419
2012-08-31,21946.652249575272,13984.457404476947
2012-09-30,22471.924477527995,14338.97667136336
2012-10-31,21785.980192185085,14078.03058642189
2012-11-30,21899.276240159197,14157.705492223318
2012-12-31,21747.254727331238,14284.193970327871
2013-01-31,22194.387676793256,15015.410194279086
