year,Portfolio 1_return_pct,benchmark_return_pct
2004,1.0494137693300987,3.0121283008526234
2005,7.748598078444058,4.828257015746584
2006,14.204892798809453,15.845252098868157
2007,17.34493464596243,5.14624122848808
2008,-21.904291914198314,-36.7950515541256
2009,30.9230078457404,26.351824226976795
2010,21.00932030217628,15.056172415884062
2011,6.843764584911072,1.8950168721545868
2012,12.74539496932241,15.990269438646077
2013,8.133571705541453,32.30778073284779
2014,9.991851397570972,13.463774462045585
2015,0.5064493647993995,1.2343198029517666
2016,9.025849744733105,11.997920445683707
2017,20.158230844616586,21.70538973343037
2018,-1.3650910947099915,-4.569009559444348
2019,27.334301784694336,31.223856996920006
2020,28.850837363525695,18.331636419012874
2021,14.633972275649354,28.728758171371016
2022,-17.20137662759791,-18.175361295122983
2023,27.678058730212474,26.17577783124514
2024,23.22724748253662,24.886463075613463
2025,30.593186380619674,17.719067981214543
2026,10.547968104908945,13.081637433046645
