year,optimized_return_pct,provided_return_pct,benchmark_return_pct
2016,-2.908325841505588,-2.6388333817629617,4.082249750754818
2017,26.9694377174867,27.110034097422876,21.70538696824964
2018,-1.3764267752726767,-6.605726228695441,-4.568971671023525
2019,30.186527649843775,33.91590785371466,31.22382543506026
2020,34.6557339197477,35.20035064185005,18.331648727881024
2021,18.36438764589836,18.307111528258325,28.728758171370995
2022,-15.474497275733135,-14.80060132189518,-18.175368123865752
2023,28.784576277184826,27.226307830113218,26.175805052516267
2024,36.76662738807141,26.127845764028535,24.88644655500756
2025,37.03439377579354,44.10508749119355,17.719067981214543
2026,13.052299126980227,18.50771015253361,9.342964967795542
