portfolio,date,portfolio_return_pct,benchmark_return_pct,active_return_pct,cumulative_active_return_pct,annual_active_return_pct,rolling_active_return_pct,rolling_tracking_error_pct
optimized,2016-08-31,-0.6167830112780331,0.11977130833220606,-0.7365543196102392,-0.7365543196102387,-6.990557532562203,,
optimized,2016-09-30,1.2014538871748655,0.005801345450673345,1.195652541724192,0.45168091030218793,-6.990557532562203,,
optimized,2016-10-31,-2.271088502016777,-1.7337106186479323,-0.5373778833688444,-0.09662988329419697,-6.990557532562203,,
optimized,2016-11-30,-2.5070746145514495,3.6838199409328976,-6.190894555484347,-6.185409372612682,-6.990557532562203,,
optimized,2016-12-31,1.3178555820420843,2.027201400499523,-0.7093458184574389,-6.990557532562203,-6.990557532562203,,
optimized,2017-01-31,3.6638219288524074,1.7894493780572285,1.8743725507951787,-5.295790475680495,5.264101537294286,,
optimized,2017-02-28,4.147472806717971,3.9292009623759894,0.21827184434198219,-5.284184445342133,5.264101537294286,,
optimized,2017-03-31,-0.3551118968802787,0.12497668722837307,-0.48008858410865174,-5.794033233535867,5.264101537294286,,
optimized,2017-04-30,2.519337209539749,0.9926084957396775,1.5267287138000714,-4.25686068102884,5.264101537294286,,
optimized,2017-05-31,1.9926187275584955,1.4112778328928322,0.5813408946656634,-3.69442213390041,5.264101537294286,,
optimized,2017-06-30,-0.7714533739731726,0.6375088999591938,-1.4089622739323664,-5.256790884314655,5.264101537294286,,
optimized,2017-07-31,3.136607011121028,2.055406411900873,1.081200599220155,-4.193101684843459,5.264101537294286,,
optimized,2017-08-31,2.255901345484744,0.2918015191892165,1.9640998262955276,-2.010003784483372,5.264101537294286,,
optimized,2017-09-30,-0.3644688926400008,2.014925087264463,-2.379393979904464,-4.770020204751013,5.264101537294286,,
optimized,2017-10-31,4.766465606276008,2.3564058349295536,2.4100597713464547,-2.1378951127098977,5.264101537294286,,
optimized,2017-11-30,1.943180812608447,3.056581334160513,-1.113400521552066,-3.5315939065777124,5.264101537294286,,
optimized,2017-12-31,1.358742777253762,1.212765002291083,0.145977774962679,-3.3968795273318086,5.264101537294286,,
optimized,2018-01-31,7.236504736553625,5.63594673693899,1.6005579996146353,-1.6152096572331187,3.1925395702855908,,
optimized,2018-02-28,-1.570592127043231,-3.636048404191494,2.065456277148263,1.1740058082875704,3.1925395702855908,,
optimized,2018-03-31,-2.9499549563772107,-2.741042758559975,-0.2089121978172355,0.8699863058921675,3.1925395702855908,,
optimized,2018-04-30,0.6301134927362753,0.5168084958714347,0.11330499686484051,1.0175672921775236,3.1925395702855908,,
optimized,2018-05-31,3.3380517878384377,2.4309339256096907,0.907117862228747,2.195056489861047,3.1925395702855908,,
optimized,2018-06-30,-0.7595729199503766,0.5750765856153528,-1.3346495055657295,0.45501048456200177,3.1925395702855908,,
optimized,2018-07-31,1.8148621238139409,3.704623700883092,-1.889761577069151,-1.9909287471248982,3.1925395702855908,,
optimized,2018-08-31,3.2193284572731975,3.1920384838794336,0.02728997339376399,-2.0182693644767546,3.1925395702855908,,
