point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_GDX_pct,weight_GLD_pct,weight_SLV_pct,weight_AIA_pct,weight_XLE_pct,weight_PTF_pct,weight_QLD_pct
1,1.0872147025672114,16.217712247607526,12.746067740700779,5.716026768414188,43.26951004617868,0.0,30.0,0.0,10.277786997310393,10.736676188096737,0.0,0.0
2,1.09479852393429,16.31824158593438,12.749598470204143,7.547534983117988,43.156081723933404,0.0,30.0,0.0,8.980927368466999,10.315455924481606,0.0,0.0
3,1.1017685988014296,16.41877092426123,12.760184797021088,9.379043197821622,43.042653401688206,0.0,30.0,0.0,7.684067739623675,9.894235660866496,0.0,0.0
4,1.108116427315896,16.51930026258808,12.777809184622454,11.210551412525358,42.929225079442965,0.0,30.0,0.0,6.3872081107803025,9.473015397251372,0.0,0.0
5,1.11383663914149,16.619829600914933,12.802442566358705,13.042059627229023,42.815796757197795,0.0,30.0,0.0,5.090348481936943,9.051795133636247,0.0,0.0
6,1.118926994973072,16.720358939241784,12.83404458356765,14.87356784193278,42.70236843495255,0.0,30.0,0.0,3.7934888530935544,8.630574870021116,0.0,0.0
7,1.1233883456163078,16.82088827756863,12.872563912557922,16.705076056636486,42.58894011270732,0.0,30.0,0.0,2.496629224250198,8.209354606405995,0.0,0.0
8,1.1272245505233347,16.92141761589549,12.917938674361807,18.536584271340217,42.47551179046211,0.0,30.0,0.0,1.199769595406819,7.78813434279086,0.0,0.0
9,1.1304396004198547,17.021946954222337,12.970128566600787,20.394813787336993,42.31992639485899,0.0,30.0,0.0,0.0,7.285259817804023,0.0,0.0
10,1.132486936598027,17.122476292549187,13.035449518645606,22.583246144000224,41.64339386332557,0.0,30.0,0.0,0.0,5.773359992674204,0.0,0.0
11,1.1329819469239728,17.223005630876038,13.118484077552031,24.77167850066335,40.966861331792224,0.0,30.0,0.0,0.0,4.261460167544425,0.0,0.0
12,1.131980477300254,17.32353496920289,13.218898443275767,26.9601108573266,40.2903288002588,0.0,30.0,0.0,0.0,2.7495603424146022,0.0,0.0
13,1.1297576007012744,17.424064307529743,13.33389064891356,27.423366660993032,40.16325547006963,0.0,30.0,0.0,0.0,2.0505201499605303,0.0,0.36285771897681174
14,1.1274111891586576,17.524593645856587,13.450809954417183,26.414288041160745,40.50511251981279,0.0,30.0,0.0,0.0,2.045206762790329,0.0,1.035392676236135
15,1.1250925635535725,17.62512298418344,13.567881860288,25.405209421328312,40.84696956955607,0.0,30.0,0.0,0.0,2.039893375620129,0.0,1.7079276334954854
16,1.1228014096680545,17.725652322510296,13.685102450176833,24.396130801495776,41.18882661929943,0.0,30.0,0.0,0.0,2.034579988449937,0.0,2.3804625907548638
17,1.120537409156055,17.826181660837147,13.802467935885932,23.38705218166362,41.53068366904249,0.0,30.0,0.0,0.0,2.0292666012797294,0.0,3.0529975480141665
18,1.1183002403320066,17.926710999163994,13.919974652372847,22.37797356183114,41.872540718785785,0.0,30.0,0.0,0.0,2.023953214109531,0.0,3.7255325052735357
19,1.1160895788926348,18.027240337490845,14.037619052975673,21.368894941998807,42.214397768529,0.0,30.0,0.0,0.0,2.0186398269393298,0.0,4.398067462532869
20,1.1139050985770753,18.127769675817696,14.155397704849145,20.359816322166356,42.556254818272286,0.0,30.0,0.0,0.0,2.013326439769138,0.0,5.070602419792216
21,1.1117464717700045,18.22829901414455,14.273307284601255,19.350737702334083,42.89811186801542,0.0,30.0,0.0,0.0,2.0080130525989346,0.0,5.7431373770515615
22,1.1096133700521211,18.328828352471398,14.391344574120717,18.34165908250156,43.239968917758794,0.0,30.0,0.0,0.0,2.002699665428744,0.0,6.4156723343109086
23,1.1075054647020064,18.429357690798252,14.509506456586188,17.332580462669174,43.58182596750201,0.0,30.0,0.0,0.0,1.997386278258546,0.0,7.088207291570272
24,1.1054224271530775,18.529887029125103,14.627789912648403,16.323501842836883,43.92368301724518,0.0,30.0,0.0,0.0,1.992072891088338,0.0,7.760742248829601
25,1.1033639294090785,18.630416367451954,14.74619201677709,15.314423223004514,44.26554006698839,0.0,30.0,0.0,0.0,1.986759503918142,0.0,8.433277206088952
26,1.1013296444212992,18.730945705778808,14.864709933764678,14.305344603172212,44.607397116731576,0.0,30.0,0.0,0.0,1.981446116747937,0.0,9.10581216334828
27,1.0993192464304626,18.83147504410566,14.98334091537945,13.296265983339733,44.94925416647491,0.0,30.0,0.0,0.0,1.9761327295777298,0.0,9.778347120607629
28,1.0973324112760112,18.932004382432506,15.102082297161058,12.287187363507426,45.29111121621809,0.0,30.0,0.0,0.0,1.9708193424075284,0.0,10.45088207786696
29,1.0953688166753168,19.032533720759357,15.22093149535161,11.278108743674986,45.632968265961374,0.0,30.0,0.0,0.0,1.9655059552373362,0.0,11.123417035126312
30,1.093428142475147,19.133063059086208,15.339886003956085,10.269030123842741,45.97482531570449,0.0,30.0,0.0,0.0,1.9601925680671317,0.0,11.79595199238564
31,1.091510070877551,19.233592397413062,15.458943391925878,9.259951504010253,46.31668236544781,0.0,30.0,0.0,0.0,1.9548791808969264,0.0,12.468486949645007
32,1.0896142866421614,19.33412173573991,15.57810130045987,8.250872884177921,46.65853941519104,0.0,30.0,0.0,0.0,1.9495657937267283,0.0,13.14102190690432
33,1.0877404772667676,19.43465107406676,15.697357440417484,7.241794264345533,47.00039646493425,0.0,30.0,0.0,0.0,1.9442524065565292,0.0,13.81355686416369
34,1.0858883331478641,19.535180412393615,15.816709589838545,6.232715644512972,47.34225351467764,0.0,30.0,0.0,0.0,1.9389390193863372,0.0,14.486091821423058
35,1.0840575477227647,19.635709750720466,15.936155591565077,5.2236370246808255,47.68411056442066,0.0,30.0,0.0,0.0,1.93362563221614,0.0,15.158626778682377
36,1.082247817594749,19.736239089047316,16.055693350960308,4.214558404848459,48.02596761416386,0.0,30.0,0.0,0.0,1.9283122450459367,0.0,15.83116173594174
37,1.0804588426425898,19.83676842737417,16.175320833720452,3.2054797850159904,48.367824663907186,0.0,30.0,0.0,0.0,1.9229988578757364,0.0,16.503696693201082
38,1.0786903261157235,19.937297765701018,16.295036063775083,2.196401165183608,48.70968171365047,0.0,30.0,0.0,0.0,1.917685470705524,0.0,17.176231650460405
