year,optimized,provided,benchmark
2015,-0.007140195621633594,-0.017133760417224142,0.017096629096856164
2016,0.14025883501021652,0.16964844707684046,0.14842051106329746
2017,0.08495603333469814,0.0868622701410271,0.0799285305361912
2018,0.015260979791202889,-0.027990187423860613,-0.003921040128796682
2019,0.31160505310947006,0.2918673775650771,0.3593183557562034
2020,0.22717914280324591,0.15503416110431179,0.11175551440710807
2021,0.21190230920215392,0.26738807588591373,0.40988783183166344
2022,-0.05007437124352565,0.021819997033247773,-0.13336253144735688
2023,0.23326311391155574,0.18780836458320782,0.27935862744081374
2024,0.4442312051987114,0.4037651871421759,0.43411658567333666
2025,0.34525594702991014,0.3081509411346648,0.15354082673803182
2026,0.11991169607490604,0.20279226027971653,0.0888832490115481
