point,expected_return,volatility,sharpe,weight_133690,weight_SPY,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
1,0.07947160631051645,0.08202502542752238,0.5007834927232683,0.0,0.11893203284125298,0.0,0.13226752313574724,0.29268415966518746,0.07773615125625112,0.09536679601541417,0.04822653120964252,0.23478680587650452
2,0.08121212919501933,0.08203010345347461,0.521970591358541,0.0,0.12400829278453009,0.0,0.13159619842110445,0.2895441900508191,0.08016470299746821,0.09207478134669507,0.045695900827264296,0.2369159335721188
3,0.08295265207952221,0.08204533564556801,0.5430878445766012,0.0,0.12908455272780714,0.0,0.1309248737064616,0.2864042204364508,0.08259325473868542,0.08878276667797595,0.04316527044488616,0.23904506126773303
4,0.08469317496402506,0.08207071635001234,0.5641274919590878,0.0,0.13416081267108412,0.0,0.1302535489918188,0.28326425082208234,0.08502180647990269,0.08549075200925677,0.040634640062508005,0.24117418896334716
5,0.08643369784852795,0.08210623615547463,0.5850818708990102,0.0,0.13923707261436108,0.0,0.12958222427717603,0.28012428120771404,0.08745035822111995,0.0821987373405377,0.03810400968012983,0.24330331665896143
6,0.08817422073303086,0.08215188191050199,0.6059434304993121,0.0,0.14431333255763815,0.0,0.12891089956253327,0.27698431159334574,0.08987890996233719,0.07890672267181836,0.035573379297751714,0.24543244435457565
7,0.08991474361753371,0.0822076367478087,0.6267047450758899,0.0,0.14938959250091524,0.0,0.1282395748478904,0.2738443419789772,0.09230746170355437,0.07561470800309943,0.033042748915373475,0.2475615720501899
8,0.09165526650203662,0.08227348011532258,0.6473585272091891,0.0,0.15446585244419234,0.0,0.1275682501332476,0.2707043723646088,0.09473601344477163,0.07232269333438023,0.030512118532995295,0.24969069974580413
9,0.09339578938653947,0.08234938781385812,0.6678976402915867,0.0,0.15954211238746946,0.0,0.1268969254186048,0.2675644027502405,0.09716456518598861,0.06903067866566114,0.027981488150617188,0.25181982744141834
10,0.09513631227104236,0.08243533204125604,0.6883151105212787,0.0,0.1646183723307465,0.0,0.12622560070396205,0.26442443313587216,0.09959311692720592,0.06573866399694182,0.025450857768239056,0.25394895513703253
11,0.09687683515554524,0.08253128144280311,0.7086041382971655,0.0,0.1696946322740236,0.0,0.12555427598931926,0.26128446352150386,0.10202166866842298,0.062446649328222664,0.02292022738586092,0.25607808283264677
12,0.09861735804004812,0.08263720116772064,0.7287581089733841,0.0,0.17477089221730055,0.0,0.1248829512746764,0.2581444939071355,0.10445022040964025,0.05915463465950358,0.02038959700348269,0.25820721052826107
13,0.10035788092455102,0.08275305293148762,0.7487706029364763,0.0,0.17984715216057784,0.0,0.12421162656003364,0.2550045242927671,0.10687877215085725,0.055862619990784415,0.01785896662110454,0.26033633822387525
14,0.10209840380905388,0.08287879508374241,0.7686354049727631,0.0,0.18492341210385474,0.0,0.12354030184539078,0.2518645546783987,0.10930732389207463,0.05257060532206536,0.01532833623872634,0.26246546591948944
15,0.10383892669355677,0.08301438268148743,0.7883465128982304,0.0,0.18999967204713172,0.0,0.122868977130748,0.24872458506403028,0.11173587563329197,0.049278590653346104,0.012797705856348157,0.2645945936151036
16,0.10557944957805962,0.08315976756730406,0.8078981454280508,0.0,0.1950759319904088,0.0,0.12219765241610518,0.245584615449662,0.11416442737450905,0.045986575984627034,0.010267075473970048,0.26672372131071787
17,0.10731997246256253,0.08331489845226804,0.8272847492677862,0.0,0.20015219193368602,0.0,0.12152632770146238,0.2424446458352936,0.11659297911572612,0.04269456131590783,0.007736445091591874,0.2688528490063321
18,0.10906049534706538,0.08347972100324452,0.8465010054131828,0.0,0.20522845187696312,0.0,0.12085500298681963,0.23930467622092524,0.11902153085694324,0.03940254664718869,0.0052058147092137646,0.2709819767019463
19,0.11080101823156827,0.08365417793422793,0.8655418346503847,0.0,0.21030471182024008,0.0,0.12018367827217678,0.23616470660655683,0.12145008259816059,0.03611053197846969,0.0026751843268355154,0.2731111043975606
20,0.11254154111607118,0.08383820910138466,0.8844024022531235,0.0,0.2153809717635171,0.0,0.11951235355753397,0.2330247369921885,0.12387863433937792,0.032818517309750474,0.00014455394445732166,0.27524023209317483
21,0.11428206400057404,0.08403286839775652,0.903066119975421,0.0,0.22114687848730266,0.0,0.11924451397750578,0.22967017828598613,0.1263216682403248,0.026689831948847415,0.0,0.2769269290600333
22,0.11602258688507691,0.08423947026105778,0.9215129090710317,0.0,0.2269545655835945,0.0,0.11900111844579535,0.22630261928391346,0.12876557950348874,0.02038929461741853,0.0,0.27858682256578954
23,0.1177631097695798,0.08445793112746161,0.9397374660242678,0.0,0.23276225267988632,0.0,0.1187577229140849,0.22293506028184065,0.13120949076665278,0.01408875728598954,0.0,0.2802467160715457
24,0.11950363265408266,0.08468815922286245,0.957734892482816,0.0,0.23856993977617824,0.0,0.1185143273823745,0.21956750127976804,0.1336534020298165,0.007788219954560755,0.0,0.281906609577302
25,0.12124415553858556,0.08493005885162919,0.9755006539806418,0.0,0.24437762687247008,0.0,0.11827093185066404,0.21619994227769523,0.13609731329298053,0.001487682623131944,0.0,0.2835665030830582
26,0.12298467842308845,0.08518745531579161,0.9929848300234498,0.0,0.2516509152394815,0.0,0.11533065545940709,0.2079031864593083,0.1392439702932719,0.0,0.0,0.2858712725485312
27,0.12472520130759132,0.08546933105037423,1.0100742881736458,0.0,0.2593772298611877,0.0,0.11155675681388026,0.19808278596555154,0.14260785026931602,0.0,0.0,0.28837537709006444
28,0.1264657241920942,0.08577581713891355,1.0267567193589877,0.0,0.26710354448289403,0.0,0.10778285816835331,0.18826238547179444,0.14597173024536036,0.0,0.0,0.2908794816315978
29,0.12820624707659709,0.08610665078917888,1.0430253489975119,0.0,0.2748298591046001,0.0,0.10400895952282647,0.17844198497803745,0.14933561022140485,0.0,0.0,0.2933835861731311
30,0.12994676996109997,0.08646155251348578,1.0588746062663323,0.0,0.28255617372630637,0.0,0.10023506087729962,0.16862158448428058,0.15269949019744894,0.0,0.0,0.2958876907146645
31,0.13168729284560285,0.08684022722555668,1.074300105377205,0.0,0.2902824883480127,0.0,0.09646116223177276,0.1588011839905236,0.15606337017349323,0.0,0.0,0.2983917952561978
32,0.1334278157301057,0.08724236536661398,1.0892986193639604,0.0,0.29800880296971866,0.0,0.09268726358624589,0.14898078349676666,0.15942725014953762,0.0,0.0,0.30089589979773107
33,0.13516833861460859,0.08766764405166032,1.1038680470456754,0.0,0.3057351175914248,0.0,0.08891336494071908,0.1391603830030099,0.16279113012558183,0.0,0.0,0.3034000043392644
34,0.13690886149911147,0.08811572822718344,1.118007373881219,0.0,0.313461432213131,0.0,0.08513946629519217,0.12933998250925277,0.16615501010162634,0.0,0.0,0.30590410888079766
35,0.13864938438361435,0.08858627183190684,1.1317166274661752,0.0,0.3211877468348372,0.0,0.08136556764966531,0.11951958201549585,0.16951889007767063,0.0,0.0,0.30840821342233105
36,0.14038990726811723,0.0890789189526766,1.1449968284426024,0.0,0.32891406145654334,0.0,0.07759166900413844,0.10969918152173891,0.172882770053715,0.0,0.0,0.3109123179638643
37,0.1421304301526201,0.08959330496811664,1.1578499375966693,0.0,0.33664037607824954,0.0,0.07381777035861158,0.09987878102798199,0.17624665002975926,0.0,0.0,0.3134164225053977
38,0.143870953037123,0.09012905767328193,1.1702787999100948,0.0,0.3443666906999558,0.0,0.0700438717130847,0.0900583805342249,0.1796105300058036,0.0,0.0,0.31592052704693097
39,0.14561147592162585,0.09068579837917841,1.182287086310044,0.0,0.35209300532166177,0.0,0.06626997306755786,0.08023798004046807,0.182974409981848,0.0,0.0,0.3184246315884643
40,0.14735199880612873,0.09126314298168574,1.1938792338303192,0.0,0.3598193199433679,0.0,0.06249607442203102,0.0704175795467111,0.1863382899578924,0.0,0.0,0.32092873612999756
41,0.1490925216906316,0.0918607029950981,1.205060384856099,0.0,0.3675456345650743,0.0,0.05872217577650409,0.06059717905295413,0.1897021699339365,0.0,0.0,0.32343284067153094
42,0.1508330445751345,0.09247808654618148,1.2158363260768645,0.0,0.3752719491867803,0.0,0.054948277130977316,0.05077677855919731,0.19306604990998089,0.0,0.0,0.32593694521306427
43,0.15257356745963738,0.09311489932531654,1.226213427719263,0.0,0.38299826380848656,0.0,0.051174378485450436,0.040956378065440294,0.19642992988602512,0.0,0.0,0.32844104975459765
44,0.15431409034414026,0.09377074549194986,1.2361985835751401,0.0,0.3907245784301928,0.0,0.047400479839923584,0.031135977571683425,0.19979380986206932,0.0,0.0,0.33094515429613097
45,0.15605461322864314,0.09444522853220076,1.245799152281373,0.0,0.39845089305189896,0.0,0.04362658119439665,0.021315577077926254,0.2031576898381139,0.0,0.0,0.33344925883766424
46,0.157795136113146,0.09513795206706215,1.2550229002488362,0.0,0.40617720767360516,0.0,0.03985268254886981,0.011495176584169414,0.20652156981415812,0.0,0.0,0.33595336337919757
47,0.15953565899764888,0.09584852061018469,1.263877946579071,0.0,0.41390352229531135,0.0,0.03607878390334289,0.0016747760904123313,0.20988544979020246,0.0,0.0,0.3384574679207309
48,0.16127618188215181,0.09659576103596594,1.272119531727608,0.0,0.42462066176207225,0.0,0.02492692866553614,0.0,0.20599799786375889,0.0,0.0,0.3444544117086327
49,0.1630167047666547,0.09741437167746074,1.2792966277406295,0.0,0.43595272792973155,0.0,0.012258133204979052,0.0,0.20061964030595045,0.0,0.0,0.3511694985593389
50,0.16475722765115758,0.09830375590452593,1.2854279971527816,0.0,0.4489520194073642,0.0,0.0,0.0,0.192522839995916,0.0,0.0,0.35852514059671986
51,0.16649775053566046,0.09964990747134965,1.285529773184029,0.0,0.5117174378050448,0.0,0.0,0.0,0.10328141800643828,0.0,0.0,0.3850011441885169
52,0.16823827342016334,0.10143314987066517,1.280088866406264,0.0,0.5201774508742161,0.010466923386268813,0.0,0.0,0.08109055785047267,0.0,0.0,0.38826506788904236
53,0.16997879630466617,0.10329758423185136,1.2738339400379313,0.0,0.5284979751819424,0.020960732092156254,0.0,0.0,0.05907192364085252,0.0,0.0,0.39146936908504876
54,0.17171931918916905,0.10523889326168878,1.2668747026010172,0.0,0.5368184994896683,0.031454540798043995,0.0,0.0,0.03705328943123238,0.0,0.0,0.39467367028105527
55,0.17345984207367193,0.10725290267918583,1.2593133716060871,0.0,0.5451390237973948,0.04194834950393173,0.0,0.0,0.015034655221611593,0.0,0.0,0.39787797147706183
56,0.17520036495817481,0.10933886536893915,1.2512068504675693,0.0,0.5471789623865863,0.0534947158367707,0.0,0.0,0.0,0.0,0.0,0.39932632177664307
57,0.1769408878426777,0.11153841929282017,1.2421375624191686,0.0,0.5356984649850517,0.06730695969433625,0.0,0.0,0.0,0.0,0.0,0.3969945753206121
58,0.17868141072718058,0.11385753371225422,1.2321238530909349,0.006107062335742817,0.5184762442565889,0.07987645854228274,0.0,0.0,0.0,0.0,0.0,0.39554023486538553
