date,Coverage Probe_drawdown_pct
2024-04-30,0.0
2024-05-31,0.0
2024-06-30,-1.341831600134169
2024-07-31,0.0
2024-08-31,0.0
2024-09-30,0.0
2024-10-31,0.0
2024-11-30,-5.854865310610224
2024-12-31,-0.19241341396371014
2025-01-31,0.0
2025-02-28,0.0
2025-03-31,0.0
2025-04-30,0.0
2025-05-31,-3.9691804809712794
2025-06-30,-6.140555685267324
2025-07-31,-3.0819519028718045
2025-08-31,0.0
2025-09-30,0.0
2025-10-31,-3.302919708029195
2025-11-30,0.0
2025-12-31,0.0
2026-01-31,0.0
2026-02-28,-5.389390519187353
2026-03-31,-11.004514672686227
2026-04-30,-14.390519187358919
2026-05-31,-15.335778781038378
2026-06-30,-22.672121896162523
2026-07-31,-26.410835214446948
2026-08-31,-22.615688487584652
