point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD
1,0.16905208981751632,0.10552906965314661,1.238116309190958,0.0046685765334304975,0.1004728549940359,0.1157153060357208,0.43527421764831037,0.0,0.0,0.3438690447885025
2,0.16964444867945136,0.10553549587118347,1.2436538058573925,0.008589052520272061,0.10508210584904501,0.11248332868864605,0.4360262515233461,0.0,0.0,0.3378192614186908
3,0.17023680754138645,0.10555477217790932,1.2490385534911104,0.0125095285071139,0.10969135670405457,0.10925135134157107,0.436778285398382,0.0,0.0,0.3317694780488785
4,0.17082916640332152,0.10558689153545493,1.2542687533579358,0.01643000449395583,0.11430060755906359,0.10601937399449621,0.43753031927341773,0.0,0.0,0.32571969467906664
5,0.17142152526525659,0.10563184222830418,1.2593427783976014,0.020350480480797732,0.11890985841407306,0.10278739664742113,0.43828235314845354,0.0,0.0,0.3196699113092545
6,0.17201388412719165,0.10568960788462886,1.264259175668849,0.0242709564676394,0.1235191092690823,0.09955541930034632,0.43903438702348935,0.0,0.0,0.3136201279394426
7,0.17260624298912672,0.10576016750603082,1.2690166682580812,0.02819143245448107,0.1281283601240916,0.09632344195327147,0.4397864208985251,0.0,0.0,0.30757034456963067
8,0.1731986018510618,0.10584349550556531,1.2736141566466581,0.03211190844132298,0.13273761097910117,0.09309146460619647,0.44053845477356085,0.0,0.0,0.3015205611998184
9,0.1737909607129969,0.10593956175388583,1.2780507195351287,0.03603238442816497,0.1373468618341105,0.08985948725912152,0.44129048864859677,0.0,0.0,0.29547077783000625
10,0.17438331957493194,0.10604833163331702,1.282325614125944,0.03995286041500649,0.14195611268911962,0.08662750991204675,0.4420425225236326,0.0,0.0,0.2894209944601946
11,0.174975678436867,0.10616976609963129,1.2864382758693338,0.04387333640184823,0.14656536354412886,0.0833955325649719,0.4427945563986682,0.0,0.0,0.28337121109038277
12,0.17556803729880205,0.10630382175127424,1.2903883176801298,0.04779381238868988,0.15117461439913796,0.08016355521789711,0.4435465902737041,0.0,0.0,0.277321427720571
13,0.17616039616073711,0.1064504509057561,1.2941755286363077,0.05171428837553144,0.15578386525414784,0.07693157787082215,0.44429862414873994,0.0,0.0,0.27127164435075857
14,0.17675275502267224,0.10660960168290062,1.2977998721728357,0.0556347643623734,0.16039311610915688,0.07369960052374729,0.4450506580237757,0.0,0.0,0.2652218609809468
15,0.1773451138846073,0.10678121809461859,1.3012614837871288,0.05955524034921528,0.1650023669641661,0.07046762317667235,0.44580269189881144,0.0,0.0,0.2591720776111348
16,0.17793747274654234,0.10696524014085187,1.3045606682749051,0.0634757163360571,0.16961161781917528,0.06723564582959748,0.4465547257738473,0.0,0.0,0.2531222942413229
17,0.17852983160847744,0.10716160391131496,1.3076978965175228,0.0673961923228987,0.174220868674185,0.06400366848252258,0.44730675964888306,0.0,0.0,0.2470725108715107
18,0.1791221904704125,0.10737024169264421,1.3106738018439859,0.07131666830974075,0.17883011952919387,0.06077169113544762,0.44805879352391886,0.0,0.0,0.241022727501699
19,0.17971454933234757,0.10759108208055138,1.3134891759926468,0.0752371442965823,0.18343937038420308,0.05753971378837287,0.44881082739895467,0.0,0.0,0.2349729441318871
20,0.1803069081942826,0.10782405009656652,1.3161449646992498,0.07915762028342391,0.18804862123921245,0.05430773644129808,0.44956286127399037,0.0,0.0,0.22892316076207514
21,0.1808992670562177,0.10806906730894679,1.3186422629393155,0.083078096270266,0.19265787209422178,0.05107575909422303,0.4503148951490262,0.0,0.0,0.22287337739226296
22,0.1814916259181528,0.10832605195732141,1.320982309853991,0.08699857225710797,0.19726712294923143,0.04784378174714799,0.451066929024062,0.0,0.0,0.21682359402245063
23,0.18208398478008783,0.10859491908063998,1.3231664833893453,0.09091904824394959,0.2018763738042403,0.04461180440007329,0.4518189628990978,0.0,0.0,0.21077381065263892
