metric,optimized,provided
alpha,0.052009950909335655,0.03515790808555542
beta,0.752173808326607,0.9525417316638456
calmar_ratio,4.519100301876203,4.0935720148800305
excess_kurtosis,0.16287486810778695,0.8335572467597698
historical_var_95,0.056338455382623,0.06971463653988064
modigliani_modigliani,0.1929855913991885,0.16510156306332033
r_squared,0.7711694694156249,0.7751447122453362
skewness,-0.13124628039484418,-0.126840278185367
treynor_ratio,0.19293249390870001,0.16076597067036733
