date,Sample Portfolio_drawdown,Portfolio 2_drawdown,Portfolio 3_drawdown,benchmark_drawdown
2020-01-31,0.0,0.0,0.0,0.0
2020-02-29,-0.033723337298561695,-0.06264012673100561,-0.0660254336568663,-0.07916556751055837
2020-03-31,-0.0872134371578629,-0.1739225385275429,-0.17946754167586954,-0.19415144888286728
2020-04-30,-0.009688574775407521,-0.054655870880394364,-0.07749858996837344,-0.09182191433710618
2020-05-31,0.0,-0.004413730145981787,-0.019789723160856698,-0.04855153338130602
2020-06-30,0.0,0.0,0.0,-0.031678069273110676
2020-07-31,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0
2020-09-30,-0.028970011056135836,-0.06603823170812417,-0.057582559851590664,-0.03744356063272425
2020-10-31,-0.05083204183696777,-0.07566057295407402,-0.07269888981297623,-0.06144365625970616
2020-11-30,-0.0009793092349409394,-0.017052380313738347,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0
2021-01-31,-0.019827599140422536,0.0,0.0,-0.01019062670152171
2021-02-28,-0.026474029032146573,0.0,0.0,0.0
2021-03-31,-0.010366604397438195,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0
2021-06-30,0.0,-0.0047487870350078065,0.0,0.0
2021-07-31,0.0,-0.021039360524770623,-0.004252556512219674,0.0
2021-08-31,0.0,-0.017473151228657446,0.0,0.0
2021-09-30,-0.0411341902956448,-0.054428337132855,-0.025796598644218127,-0.046605552722635446
2021-10-31,0.0,0.0,0.0,0.0
2021-11-30,-0.0018008401816723696,-0.018738350137447624,-0.013240794970460046,-0.008034845540137114
2021-12-31,0.0,0.0,0.0,0.0
2022-01-31,-0.04283006019119784,-0.01584563474763856,-0.031411053769205055,-0.05274124495483978
2022-02-28,-0.050706385159675516,-0.006762534712541846,-0.031854539484587385,-0.08070146206787299
2022-03-31,-0.037608594572374976,0.0,-0.002913487811569637,-0.04614481645535695
2022-04-30,-0.10905964576081495,-0.0798027640357527,-0.08190422082804205,-0.12986376317648518
2022-05-31,-0.118279417920094,-0.07524047797076328,-0.07431596695691989,-0.12789968031242882
2022-06-30,-0.16657990292094849,-0.15812426992821638,-0.15946425577461754,-0.1998134387600099
2022-07-31,-0.1236701501818458,-0.12581628020182123,-0.09876340299375896,-0.1261262559337506
2022-08-31,-0.15800044174273542,-0.15852703223265552,-0.1310288911776808,-0.16178212419638527
2022-09-30,-0.22245433847683882,-0.22346461080362923,-0.20051034139171242,-0.23927175560477576
2022-10-31,-0.19694616511596708,-0.18510587788306032,-0.14670666459885084,-0.17744336667922045
2022-11-30,-0.144993068287814,-0.09869965931609481,-0.08250424644197796,-0.13171605952887844
2022-12-31,-0.173065532949378,-0.11923133143922049,-0.11600903639079774,-0.1817537371145903
2023-01-31,-0.11969662636663347,-0.042738079078641245,-0.05381531049283372,-0.13029629571458878
2023-02-28,-0.1509798673967947,-0.10171576202963828,-0.0920784149963193,-0.1521630211994892
2023-03-31,-0.11061751484223903,-0.038399986428795274,-0.027303933236689004,-0.12072724739884677
2023-04-30,-0.09995897153027244,-0.033552357177128234,-0.015705678562268233,-0.10668086589818293
2023-05-31,-0.10524926237625665,-0.03827783415273378,0.0,-0.10255705670280335
2023-06-30,-0.07355951114225612,-0.00613463425349392,0.0,-0.04440287257874154
2023-07-31,-0.055021168291686795,0.0,0.0,-0.013123135539950481
2023-08-31,-0.07232163616815468,-0.03088632989704876,-0.019848800465345984,-0.029161870897846498
2023-09-30,-0.12159966553746615,-0.07654609368907683,-0.059542917498879855,-0.07521299700866957
2023-10-31,-0.12967125063975682,-0.08331156092895886,-0.0749789366370871,-0.09528895310941665
2023-11-30,-0.0608996150257739,-0.008159156344932805,0.0,-0.012649152536007291
2023-12-31,-0.017623534711424527,0.0,0.0,0.0
2024-01-31,-0.015442633259262761,-0.01994920455024951,-0.004409731421645469,0.0
2024-02-29,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.0
2024-04-30,-0.030560335934067595,-0.0033601772094756788,-0.02151707103320566,-0.04031957126224173
2024-05-31,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0
2024-07-31,0.0,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0,0.0
2024-10-31,-0.005637631605767357,0.0,-0.007763180761959698,-0.008923647328876738
2024-11-30,0.0,0.0,0.0,0.0
2024-12-31,-0.02835584242462752,-0.02938860326889159,-0.027722458426806318,-0.024059865276663372
2025-01-31,0.0,0.0,0.0,0.0
2025-02-28,0.0,0.0,-0.00883997803556058,-0.012694839644185052
2025-03-31,-0.015324824065850895,0.0,-0.009626452346014003,-0.0677067054360242
2025-04-30,-0.010436500259034642,-0.00949935415505343,-0.005941570195842183,-0.07578974101565727
2025-05-31,0.0,0.0,0.0,-0.01770780918263537
2025-06-30,0.0,0.0,0.0,0.0
2025-07-31,0.0,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0,0.0
2025-12-31,0.0,0.0,0.0,0.0
2026-01-31,0.0,0.0,0.0,0.0
2026-02-28,0.0,0.0,0.0,-0.008641958340223965
2026-03-31,-0.06209888315615508,-0.08447387315567667,-0.08328589870104541,-0.05759478882587643
2026-04-30,-0.009824786467462765,-0.018992821375331648,0.0,0.0
2026-05-31,0.0,0.0,0.0,0.0
2026-06-30,-0.02703830333097279,-0.04605858221500736,-0.0354331161084549,-0.010292566443839024
2026-07-31,-0.03373312083870106,-0.0648336178642187,-0.08773859732956535,-0.00994797093102262
2026-08-31,0.0,0.0,-0.023898920124684975,0.0
