asset,Sample Portfolio,Portfolio 2,Portfolio 3
SPY,0.7409211927215945,0.0,0.0
GLD,0.12961527960351563,0.05603492497746229,0.04400664256077585
TLT,0.1294635276748899,0.0,0.0
QQQ,0.0,0.2686800976515334,0.42525624542482243
SLV,0.0,0.13829635625503944,0.12294762906013006
GDX,0.0,0.1613849758899428,0.0
AIA,0.0,0.20407491440495193,0.0
XLF,0.0,0.07477109260602126,0.0
XLE,0.0,0.09675763821504886,0.0991652641059928
EWY,0.0,0.0,0.16602436264135279
EWJ,0.0,0.0,0.07151168231650501
INDY,0.0,0.0,0.07108817389042099
