portfolio,date,portfolio_return,benchmark_return,active_return,cumulative_active_return,annual_active_return,rolling_active_return,rolling_tracking_error
Sample Portfolio,2020-01-31,0.02413941575273093,-0.00040380601209111244,0.024543221764822043,0.024543221764821932,0.01260710460870662,,
Sample Portfolio,2020-02-29,-0.033723337298561716,-0.07916556751055837,0.04544223021199665,0.06913942278508778,0.01260710460870662,,
Sample Portfolio,2020-03-31,-0.05535691994232573,-0.12487139632848954,0.06951447638616381,0.12929755254873287,0.01260710460870662,,
Sample Portfolio,2020-04-30,0.0849320811001716,0.126983580728542,-0.04205149962837039,0.10640560655091458,0.01260710460870662,,
Sample Portfolio,2020-05-31,0.02696388343753771,0.047645259931829775,-0.020681376494292067,0.09049992644469795,0.01260710460870662,,
Sample Portfolio,2020-06-30,0.016494234099779695,0.017734501342107523,-0.0012402672423278277,0.09081307956301177,0.01260710460870662,,
Sample Portfolio,2020-07-31,0.06638865169298011,0.058892042432051595,0.007496609260928516,0.10409823734393253,0.01260710460870662,,
Sample Portfolio,2020-08-31,0.025895456791062244,0.06979677941272877,-0.04390132262166653,0.06179793540013412,0.01260710460870662,,
Sample Portfolio,2020-09-30,-0.028970011056135704,-0.03744356063272425,0.008473549576588545,0.06929865381680411,0.01260710460870662,,
Sample Portfolio,2020-10-31,-0.022514269414696517,-0.02493370221777136,0.002419432803074842,0.0702919525375656,0.01260710460870662,,
Sample Portfolio,2020-11-30,0.05252256165337608,0.10877693481526807,-0.05625437316189199,0.016092476692649793,0.01260710460870662,,
Sample Portfolio,2020-12-31,0.033521239779656695,0.03704855050082756,-0.003527310721170865,0.01260710460870662,0.01260710460870662,,
Sample Portfolio,2021-01-31,-0.019827599140422536,-0.010190626701521821,-0.009636972438900715,0.0009535466153622885,-0.13241120194116074,,
Sample Portfolio,2021-02-28,-0.0067808784310752854,0.02780552861881147,-0.034586407049886754,-0.03956252015493589,-0.13241120194116074,,
Sample Portfolio,2021-03-31,0.016545449340909624,0.04539935040219012,-0.028853901061280496,-0.07495215585469084,-0.13241120194116074,,
Sample Portfolio,2021-04-30,0.04491536349056774,0.05291048892854877,-0.007995125437981032,-0.08838035012068746,-0.13241120194116074,,
Sample Portfolio,2021-05-31,0.018062981655640138,0.006566054982565905,0.011496926673074233,-0.07474258900196618,-0.13241120194116074,,
Sample Portfolio,2021-06-30,0.00823364153067023,0.022427371800556095,-0.014193730269885865,-0.09428909800707319,-0.13241120194116074,,
Sample Portfolio,2021-07-31,0.026781467119007175,0.024412656924152065,0.00236881019485511,-0.0935840036104203,-0.13241120194116074,,
Sample Portfolio,2021-08-31,0.018611531963608922,0.02975971125707666,-0.011148179293467737,-0.1108994082520478,-0.13241120194116074,,
Sample Portfolio,2021-09-30,-0.04113419029564468,-0.046605552722635446,0.005471362426990763,-0.09846686302963659,-0.13241120194116074,,
Sample Portfolio,2021-10-31,0.05267938702222853,0.07016362155059053,-0.017484234528361994,-0.1276336386995749,-0.13241120194116074,,
Sample Portfolio,2021-11-30,-0.00180084018167238,-0.008034845540137003,0.006234005358464623,-0.11825396783682729,-0.13241120194116074,,
Sample Portfolio,2021-12-31,0.03249139285100922,0.04624786083031607,-0.013756467979306845,-0.142124725119271,-0.13241120194116074,,
Sample Portfolio,2022-01-31,-0.04283006019119788,-0.05274124495483978,0.009911184763641903,-0.12094011682614259,0.008688204165212099,,
Sample Portfolio,2022-02-28,-0.008228763400207771,-0.029516979351328465,0.021288215951120695,-0.08922753155848917,0.008688204165212099,,
Sample Portfolio,2022-03-31,0.01379740723264387,0.03759023232022951,-0.02379282508758564,-0.12377665414378836,0.008688204165212099,,
Sample Portfolio,2022-04-30,-0.0742432349099084,-0.08776903262193148,0.013525797712023072,-0.09493439156810979,0.008688204165212099,,
Sample Portfolio,2022-05-31,-0.010348360712824904,0.002257213044277284,-0.012605573757102188,-0.11066005054762718,0.008688204165212099,,
Sample Portfolio,2022-06-30,-0.054779808912839054,-0.0824604197752663,0.02768061086242725,-0.0678259964968877,0.008688204165212099,,
Sample Portfolio,2022-07-31,0.05148634270938708,0.09208750358425388,-0.0406011608748668,-0.12080682994614689,0.008688204165212099,,
Sample Portfolio,2022-08-31,-0.03917507952971526,-0.040802082113971405,0.0016270025842561459,-0.11390843716464616,0.008688204165212099,,
Sample Portfolio,2022-09-30,-0.07654861110320219,-0.09244569180071449,0.015897080697512306,-0.08489101789346032,0.008688204165212099,,
Sample Portfolio,2022-10-31,0.032806013361199884,0.08127526403953711,-0.048469250678337225,-0.14384180841499838,0.008688204165212099,,
Sample Portfolio,2022-11-30,0.06469441346439196,0.05559168244225843,0.009102731022133534,-0.14174207732654653,0.008688204165212099,,
Sample Portfolio,2022-12-31,-0.0328330258157649,-0.05762824262137323,0.024795216805608325,-0.1042933641544368,0.008688204165212099,-0.03089506184062829,0.0923984036107652
Sample Portfolio,2023-01-31,0.06453825388738758,0.06288747499871894,0.0016507788886686442,-0.10896673020381642,-0.07378410282242776,-0.039577885946973534,0.09095621695403311
Sample Portfolio,2023-02-28,-0.035536886449773146,-0.025142730078247966,-0.01039415637152518,-0.1188644917844226,-0.07378410282242776,-0.06131457131677798,0.08612024937903877
Sample Portfolio,2023-03-31,0.04753992397188447,0.03707761584675939,0.010462308125125074,-0.1110034018242172,-0.07378410282242776,-0.0893972694229237,0.07440955345708987
Sample Portfolio,2023-04-30,0.011984206446426577,0.01597499917870815,-0.003990792732281572,-0.11767883231515186,-0.07378410282242776,-0.07426751127489828,0.07149528184979027
Sample Portfolio,2023-05-31,-0.005877832986101717,0.004616277697360394,-0.01049411068346211,-0.13126715533418576,-0.07378410282242776,-0.06991141275259682,0.07102823836839522
Sample Portfolio,2023-06-30,0.0354174072190891,0.06479986784497282,-0.029382460625883726,-0.17608349541954382,-0.07378410282242776,-0.08051779984152851,0.07224090949658005
Sample Portfolio,2023-07-31,0.020010290000846274,0.032733184457347075,-0.012722894456500801,-0.19812681955989997,-0.07378410282242776,-0.08667593744705893,0.07182064287906725
Sample Portfolio,2023-08-31,-0.018307783514253394,-0.01625201272366572,-0.0020557707905876736,-0.19758995300127258,-0.07378410282242776,-0.07065313377545812,0.06848736781331238
Sample Portfolio,2023-09-30,-0.05311973555766113,-0.04743440201860616,-0.005685333539054968,-0.19550176742961067,-0.07378410282242776,-0.07546294640812357,0.06794016752325074
Sample Portfolio,2023-10-31,-0.009188959504699407,-0.021708735131234724,0.012519775626535317,-0.1760687127304581,-0.07378410282242776,-0.07203624222571703,0.06864102086324315
Sample Portfolio,2023-11-30,0.07901799827310693,0.09134386150963403,-0.012325863236527096,-0.2069678044707901,-0.07378410282242776,-0.057655938075334534,0.062027442258068645
Sample Portfolio,2023-12-31,0.046082485969311,0.04565532665995842,0.0004271593093525816,-0.21586294753113133,-0.07378410282242776,-0.05648935425713675,0.062101407386595586
Sample Portfolio,2024-01-31,0.002220026160257447,0.015926587106046997,-0.01370656094578955,-0.23789801549978584,-0.0623382404246271,-0.0583135298516857,0.062252527619668006
Sample Portfolio,2024-02-29,0.02824455409066805,0.05218682546529996,-0.023942271374631906,-0.2828702293850258,-0.0623382404246271,-0.054805783103295314,0.060804221223620177
Sample Portfolio,2024-03-31,0.03846376218933888,0.03270183452575459,0.005761927663584292,-0.28406414572446304,-0.0623382404246271,-0.04267663800654242,0.059356572405041705
Sample Portfolio,2024-04-30,-0.030560335934067553,-0.040319571262241616,0.009759235328174062,-0.2584403544473932,-0.0623382404246271,-0.035221926481519006,0.05980328463892578
Sample Portfolio,2024-05-31,0.03946181475793214,0.050579662758128086,-0.011117848000195947,-0.2871619975664126,-0.0623382404246271,-0.04346501228636046,0.0593154504011507
Sample Portfolio,2024-06-30,0.024689126890407812,0.035280334425669135,-0.010591207535261323,-0.3127899876207647,-0.0623382404246271,-0.04234465765021622,0.05913671056848334
Sample Portfolio,2024-07-31,0.02470132963015629,0.012108883977461682,0.012592445652694607,-0.2976976427353779,-0.0623382404246271,-0.03863974874878484,0.05979163775630724
Sample Portfolio,2024-08-31,0.022464988912401115,0.023365625082593544,-0.0009006361701924294,-0.30603721495682357,-0.0623382404246271,-0.035038296866244156,0.05963401078905571
Sample Portfolio,2024-09-30,0.027076149860856852,0.02100466682931046,0.006071483031546393,-0.30292803046935135,-0.0623382404246271,-0.035773200643957725,0.059664938961751006
Sample Portfolio,2024-10-31,-0.005637631605767362,-0.008923647328876738,0.003286015723109376,-0.29492320422928,-0.0623382404246271,-0.027890402452874108,0.05916139414195718
Sample Portfolio,2024-11-30,0.03277292411910002,0.05963331594563215,-0.026860391826532125,-0.35560225100891496,-0.0623382404246271,-0.040005762261237754,0.06053479829493834
Sample Portfolio,2024-12-31,-0.028355842424627593,-0.024059865276663372,-0.00429597714796422,-0.35416436282123454,-0.0623382404246271,-0.0359978400243397,0.060232437567523806
Sample Portfolio,2025-01-31,0.030669733878777587,0.02685623711431928,0.0038134967644583052,-0.3575366006611229,0.06497124371108254,-0.039391537721210845,0.0598768992529616
Sample Portfolio,2025-02-28,0.007295536098408982,-0.012694839644185052,0.019990375742594033,-0.3198285427756633,0.06497124371108254,-0.040215589282843967,0.0596975863831513
Sample Portfolio,2025-03-31,-0.015324824065850926,-0.0557192122565362,0.040394388190685276,-0.2344942610511862,0.06497124371108254,-0.0159263744961069,0.06358228613008199
Sample Portfolio,2025-04-30,0.004964402400191313,-0.008670056544183735,0.013634458944375049,-0.21002227595340472,0.06497124371108254,-0.016763390284175506,0.06359123106110617
Sample Portfolio,2025-05-31,0.028225984748698807,0.06284493303163585,-0.034618948282937045,-0.2804780777367244,0.06497124371108254,-0.02474268065026175,0.06610758214817668
