ticker,name,start_balance,end_balance,annualized_return,best_year,worst_year,sharpe_ratio,sortino_ratio,3m,ytd,1y,3y,5y,10y,full_period,cagr_pct,annualized_volatility_pct,max_drawdown_pct,3y_annualized_volatility_pct,5y_annualized_volatility_pct
SPY,State Street SPDR S&P 500 ETF Trust,1.0,2.614513007087515,0.1592106044924645,0.28728814751262366,-0.18175368123865776,0.7719125144034682,1.2321276646026977,0.01658483197328664,0.13081637433046645,0.20230847951831676,0.20917499388040328,0.1269213663337445,,0.15507084232851298,15.507084232851298,16.94160310297943,-23.92719085188838,12.939413499908683,15.869537344046941
GLD,SPDR Gold Shares,1.0,2.85808279126723,0.17247550572355413,0.6367653308824839,-0.04148908875959545,0.8534056216409965,1.5268934889771135,-0.02085726359631579,0.030556927515688503,0.2840569812400424,0.3140001532192995,0.19203814198239333,,0.170607280248817,17.060728024881698,16.878170482001742,-23.849094597868202,18.662219543337663,16.925895109275917
TLT,iShares 20+ Year Treasury Bond ETF,1.0,0.7422496652572935,-0.03435473230294242,0.18152213366245196,-0.31234539056473976,-0.43511093800922845,-0.5742357228664214,-0.026521720903724955,-0.02786605110419582,-0.0034852392938997667,-0.010526969397187114,-0.07982301006887016,,-0.04372566179565762,-4.372566179565762,14.431028231611739,-47.61363635133507,13.930360034900438,14.491094349700461
QQQ,Invesco QQQ Trust  Series 1,1.0,3.502003452382426,0.21115774527037645,0.5485558616629513,-0.32577012672297156,0.8680087677911191,1.486626224312404,-0.028121377199004982,0.16952757877712177,0.2626437253088254,0.24490742055871983,0.14217149253578332,,0.20683385682829347,20.683385682829346,21.050650874801676,-32.577012672297165,17.744024746427066,21.090161858818632
SLV,iShares Silver Trust,1.0,3.6049160652267473,0.25136341601545764,1.4466387525867455,-0.12454210435285384,0.6447378800342788,1.1369858940271864,-0.12000586189378248,-0.06659418228450309,0.661508796624767,0.38999224291186807,0.22118854366129992,,0.21208834043458724,21.208834043458722,34.57640273960718,-38.39274982183268,34.863525503794726,31.93627201715558
GDX,VanEck Gold Miners ETF,1.0,3.624712036123316,0.2656537659088033,1.547712189899661,-0.0952222233068355,0.6071194618320954,1.1576938794860057,0.10079343488410952,0.1485368542822949,0.5707686660196774,0.5164578416020773,0.26494915259667584,,0.21308442417662055,21.308442417662054,39.072625870525634,-43.31016741881233,39.95253052914795,37.89316560558799
AIA,iShares Asia 50 ETF,1.0,2.4057998776391,0.15985478192787395,0.4779145587884901,-0.24082912890739383,0.5485144093257328,0.9658356820575578,-0.022283363066864847,0.4271193585493358,0.6684399699236803,0.3711515134562553,0.13430150828884013,,0.14074592163460098,14.074592163460098,23.95899354575235,-50.56046562151717,20.672468204307336,25.40740960838166
XLF,State Street Financial Sel Sec SPDR ETF,1.0,2.115423566644073,0.13440476967489046,0.3479782828862814,-0.10586463746090569,0.512284925660407,0.7693384813412153,0.12276376134873601,0.06280530924585337,0.08548947202938084,0.20739117972309118,0.10385653988082177,,0.1189472177069717,11.89472177069717,20.68546513217858,-29.91807191045036,14.32331816202656,17.73748008521448
XLE,State Street Energy Select Sector SPDR ETF,1.0,2.7830290423475565,0.2118316964548409,0.6432492620021752,-0.3267131519286607,0.5401547691979163,0.87477864711731,0.14445301984631032,0.4502834615892295,0.45929763022854897,0.1656203434746768,0.259570315274988,,0.1659439165028178,16.594391650281782,33.95238863245945,-44.404422191406624,20.305012131225766,26.091656102547034
EWY,Ishares Msci South Korea ETF,1.0,3.253953876033207,0.2375144374905902,0.9533032375580921,-0.2658970710362861,0.5923719084784997,1.0696286483820414,-0.12131371033654503,0.8603167901610478,1.5598311046004043,0.4598318902042635,0.18294942720990015,,0.1936079668953572,19.360796689535718,35.29508818667736,-48.094255241892455,42.910052990463775,38.334598408619
EWJ,iShares MSCI Japan ETF,1.0,1.8580407735469806,0.10441058659895855,0.25840578991069707,-0.1772325863435844,0.5057708095552651,0.7847368925114515,0.03701530431421629,0.19396765817014638,0.2775667846012284,0.19275647236888993,0.09561421450824548,,0.09738314637945877,9.738314637945876,15.02149494664676,-28.863985043015326,12.447599714098818,14.969489118934053
INDY,iShares India 50 ETF,1.0,1.3718709566629523,0.06508906334471837,0.19427402773820313,-0.11257020336479673,0.20064172032697952,0.2678522494872789,0.02438904269199549,-0.11257020336479673,-0.06953854822831107,0.01869830650944526,0.006494269352083304,,0.04856894023507685,4.856894023507685,18.267792603146756,-31.691069167992936,12.409524961029263,12.562990727339503
