asset,Sample Portfolio_risk_contribution_pct,Portfolio 2_risk_contribution_pct,Portfolio 3_risk_contribution_pct
SPY,74.0921465290571,0.0,0.0
GLD,12.961516535167666,5.6034938706356225,4.40066408872132
TLT,12.94633693577523,0.0,0.0
QQQ,0.0,26.86799728653146,42.525615880785885
SLV,0.0,13.82963758660411,12.294761500078904
GDX,0.0,16.138500531760826,0.0
AIA,0.0,20.407492181526383,0.0
XLF,0.0,7.477111174661346,0.0
XLE,0.0,9.675767368280248,9.916530484460463
EWY,0.0,0.0,16.60244357129141
EWJ,0.0,0.0,7.151169442354489
INDY,0.0,0.0,7.108815032307529
