date,optimized_balance,provided_balance,benchmark_balance
2021-11-30,1.0115993299788555,1.017646201791244,1.011823585978256
2021-12-31,1.0349717589160368,1.0283884128425782,1.0578625980870302
2022-01-31,0.9799129697180701,0.9873740071137803,1.0170767313285587
2022-02-28,0.9982436972747862,0.9862542535477917,0.9787844556895108
2022-03-31,1.0410730934117463,0.9884070188916679,1.0299174243736124
2022-04-30,1.0108449548410638,0.949119191160368,0.9842282463512468
2022-05-31,0.9785666388682749,0.9273546601856467,0.9627631382511463
2022-06-30,0.9307322145298101,0.9022961512370113,0.9160765961407265
2022-07-31,0.9625446361607929,0.940078986193667,1.0062159042962746
2022-08-31,0.9532667907588606,0.919454821386577,1.0002672449482246
2022-09-30,0.9116512225114504,0.882643195935422,0.9672519672259867
2022-10-31,0.9329075472324215,0.8747652553006574,1.039635221209725
2022-11-30,0.9447518874517425,0.8982555231860095,1.023107520566426
2022-12-31,0.9075243353488603,0.8661314957122298,0.9167832388731192
2023-01-31,0.9561313843183582,0.9094806321256456,0.9521997785670017
2023-02-28,0.9666521259716674,0.909698772650264,0.9937235506609373
2023-03-31,1.0124908911081676,0.9399876973900868,1.013488003679897
2023-04-30,1.0294447633074972,0.9592182659898375,1.0637417429396914
2023-05-31,1.044455207416988,0.9437431102911767,1.0545698544051538
2023-06-30,1.0478217863463342,0.9455975688434122,1.1240355616843019
2023-07-31,1.0677336543168223,0.949051320970407,1.121224358226947
2023-08-31,1.069608976019314,0.9462107382322359,1.1433181728454849
2023-09-30,1.0393694599801688,0.9228085446550076,1.1081682805346187
2023-10-31,1.035433982100752,0.8999146304975822,1.0842882771003435
2023-11-30,1.084767218746961,0.9428398449391733,1.1309182266432818
2023-12-31,1.1329838884775518,1.0006983806104706,1.172894623723646
2024-01-31,1.136562864323282,0.997847951086803,1.2370616296025654
2024-02-29,1.153611408706607,1.0096731553223952,1.308252652061153
2024-03-31,1.2205439839514862,1.0490320878048858,1.3676723709270777
2024-04-30,1.242472725470978,1.051500224783973,1.34720365249033
2024-05-31,1.2550959107330635,1.0614433796374525,1.4052928760446888
2024-06-30,1.2883106494851644,1.088763642991773,1.466854089542499
2024-07-31,1.3081337078548305,1.1188219107435617,1.4642466044793108
2024-08-31,1.3103404878836755,1.1116741595403612,1.4600757538210878
2024-09-30,1.3297168636378527,1.1407134493105513,1.4711153472641334
2024-10-31,1.389805150104174,1.1600079960649534,1.5280863201773411
2024-11-30,1.3855705696055387,1.178473713383094,1.636513060608118
2024-12-31,1.4019950318300891,1.1863101171188828,1.6820675218730015
2025-01-31,1.4522535678535473,1.199757525579226,1.6969555287249134
2025-02-28,1.4469263907632983,1.2167361983627387,1.684942456170157
2025-03-31,1.469901793523078,1.2350594416579173,1.615311045345912
2025-04-30,1.4757081973833137,1.2293870823598279,1.5488596978270475
2025-05-31,1.5043218952601416,1.2174401693063808,1.5845238429492796
2025-06-30,1.5540254682542356,1.2358085718159255,1.6393113314345913
2025-07-31,1.6069296312573078,1.2663604033394154,1.7305569431777956
2025-08-31,1.638516329050681,1.291062447615314,1.7570559772571188
2025-09-30,1.7662956327118655,1.351131634342884,1.84427439593943
2025-10-31,1.881974986245091,1.405011203978354,1.9163221122613374
2025-11-30,1.9259478799067413,1.422793220423683,1.9704597952425194
2025-12-31,1.9745476065687948,1.4315971608157774,1.9403335598105744
2026-01-31,2.2152321743933236,1.5055460286245164,1.956400718161492
2026-02-28,2.296777936481186,1.5645413651023659,1.9443259061599136
2026-03-31,2.123650186360266,1.470566284115696,1.9399497446709455
2026-04-30,2.299617722987925,1.532695369712863,2.1019364702037233
2026-05-31,2.5077128378860496,1.6069748563042197,2.2444946995618253
2026-06-30,2.415450655909365,1.586235115570559,2.3006048517255135
2026-07-31,2.26315539242794,1.4720206436438612,2.1111688287757167
2026-08-31,2.368959786859282,1.4902342584008323,2.112796710772682
