point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
1,0.0839022344964915,0.07513056595958,0.6057109557083259,0.0,0.28745206592269257,0.0,0.14663696879409618,0.2633169801577465,0.0,0.0028330450710319045,0.08435241687567509,0.21540852317875764
2,0.08559800356468494,0.07514056092469855,0.6281983445103942,0.0,0.29294942621177766,0.0,0.14590172516080407,0.2610765599089795,0.0,0.0,0.08059882258863967,0.2194734661297991
3,0.08729377263287835,0.0751735303359369,0.650480891720143,0.0,0.2981946077874357,0.0,0.14427073283112143,0.257924072198485,0.0,0.0,0.07541204682177235,0.22419854036118556
4,0.08898954170107179,0.0752271111810085,0.6725595775321731,0.0,0.2998972667679551,0.0,0.14259412206718694,0.253685222175843,0.0059158997720177575,0.0,0.0708687364216195,0.22703875279537786
5,0.09068531076926521,0.07529707789400351,0.6944556767085727,0.0,0.3012635054313968,0.0,0.14091317908865011,0.24934320432753468,0.012393610745983347,0.0,0.06638653355624874,0.22969996685018648
6,0.09238107983745864,0.0753833577272216,0.7161561102996189,0.0,0.3026297440948384,0.0,0.1392322361101133,0.2450011864792264,0.018871321719949048,0.0,0.06190433069087797,0.232361180904995
7,0.09407684890565206,0.07548514537722802,0.7376553498199003,0.0018907091338631937,0.3037006249491326,0.0,0.1375529327151174,0.2407914680310623,0.02323628011416113,0.0,0.05774806589269276,0.23507991916397072
8,0.09577261797384548,0.07560097609660954,0.7589556821900848,0.004174119301402315,0.3047101598698406,0.0,0.1358739698622703,0.2366092282205483,0.02716241896330931,0.0,0.05365949855976315,0.23781060522286598
9,0.09746838704203892,0.07573075322594551,0.7800471663022269,0.0064575294689415245,0.3057196947905488,0.0,0.13419500700942322,0.23242698841003448,0.031088557812457143,0.0,0.04957093122683356,0.24054129128176135
10,0.09916415611023235,0.07587440520259804,0.8009199988027667,0.00874093963648065,0.3067292297112567,0.0,0.13251604415657614,0.2282447485995205,0.03501469666160536,0.0,0.04548236389390394,0.2432719773406567
