kind,label,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
provided,Provided Portfolio,0.08770252200248647,0.09952451375491492,0.4954326583067035,0.1,0.1,0.08,0.085,0.085,0.05,0.15,0.15,0.2
optimized,Optimized Portfolio,0.1879691061439383,0.12999999797415515,1.1505713914508504,0.27092745532634194,0.17299384567282874,0.14487265043106354,0.0,0.0,0.0,0.0,0.0,0.4112060181024806
benchmark,Benchmark,0.16581395885672073,0.14302203324441692,0.8909056065002338,,,,,,,,,
