series,133690,402970,069500,168580,200250,101280,TLT,385560,132030,optimized,provided,benchmark
133690,1.0,0.34338955681722283,0.5197056945872635,0.12787406303260435,0.3845607251943168,0.5654607535638793,0.3701642306782937,0.18913324534019874,-0.11857479959343427,0.6400074633876305,0.6017070900413047,0.8461217343799233
402970,0.34338955681722283,1.0,0.22324148774101452,-0.024541245134344355,0.31213395201139665,0.4708411480487684,0.3534599382756766,0.02697022287036301,-0.1923950485203593,0.3086345960664549,0.34702553767412747,0.5898386545062109
069500,0.5197056945872635,0.22324148774101452,1.0,0.17590199003707307,0.2612053056305531,0.630647303191199,0.24818750290437738,0.17161799885067516,0.26342917508680463,0.8206501620665944,0.7296458627463518,0.4847396667420376
168580,0.12787406303260435,-0.024541245134344355,0.17590199003707307,1.0,-0.0856963733846185,0.11094319113580248,0.33423618285911155,0.0028445596138068105,0.08273629243768282,0.1695543998629547,0.34215928087120856,0.11791486287543491
200250,0.3845607251943168,0.31213395201139665,0.2612053056305531,-0.0856963733846185,1.0,0.4674343713616616,0.29202718575838715,0.05397455105281232,-0.16727981427189076,0.23392399330518024,0.34960717450429035,0.47162090440918353
101280,0.5654607535638793,0.4708411480487684,0.630647303191199,0.11094319113580248,0.4674343713616616,1.0,0.3824340610885967,0.27879660332405787,0.07144350110987657,0.6260673151628401,0.691960349134653,0.6532101964673103
TLT,0.3701642306782937,0.3534599382756766,0.24818750290437738,0.33423618285911155,0.29202718575838715,0.3824340610885967,1.0,0.4376635577057962,-0.025483102732984195,0.3101955875347335,0.6423980021218477,0.44504235304472045
385560,0.18913324534019874,0.02697022287036301,0.17161799885067516,0.0028445596138068105,0.05397455105281232,0.27879660332405787,0.4376635577057962,1.0,0.23842833920187922,0.29202880769034567,0.5897801105704009,0.23512527569931652
132030,-0.11857479959343427,-0.1923950485203593,0.26342917508680463,0.08273629243768282,-0.16727981427189076,0.07144350110987657,-0.025483102732984195,0.23842833920187922,1.0,0.5883208244890282,0.4502427526879224,-0.15497396439879865
optimized,0.6400074633876305,0.3086345960664549,0.8206501620665944,0.1695543998629547,0.23392399330518024,0.6260673151628401,0.3101955875347335,0.29202880769034567,0.5883208244890282,1.0,0.8749177856941933,0.5819431230967756
provided,0.6017070900413047,0.34702553767412747,0.7296458627463518,0.34215928087120856,0.34960717450429035,0.691960349134653,0.6423980021218477,0.5897801105704009,0.4502427526879224,0.8749177856941933,1.0,0.6225525250818871
benchmark,0.8461217343799233,0.5898386545062109,0.4847396667420376,0.11791486287543491,0.47162090440918353,0.6532101964673103,0.44504235304472045,0.23512527569931652,-0.15497396439879865,0.5819431230967756,0.6225525250818871,1.0
