year,SPY Candidate_return_pct,benchmark_return_pct
2014,16.459643835948512,15.555137917497985
2015,7.752113951992867,4.80627321386391
2016,15.175369990443999,8.090608081531903
2017,7.96305386259335,7.030920509861094
2018,-1.7116595049562977,-2.5761487583026432
2019,36.897681119056,25.30339609624155
2020,11.099016338241618,18.26923237341518
2021,40.518647119887575,13.439125001573338
2022,-11.898872537995164,-12.801364039215645
2023,28.233191773351596,13.567939087740498
2024,42.16530433029333,20.847078303852484
2025,15.110242377762905,23.105278268820918
2026,8.322650052519066,6.12101299204324
