date,SPY Candidate_drawdown_pct,benchmark_drawdown_pct
2014-07-31,0.0,0.0
2014-08-31,0.0,0.0
2014-09-30,0.0,0.0
2014-10-31,0.0,0.0
2014-11-30,0.0,0.0
2014-12-31,0.0,0.0
2015-01-31,-3.925847126769688,0.0
2015-02-28,0.0,-0.981649496441428
2015-03-31,-0.9955669524595256,0.0
2015-04-30,-2.915383251430448,-1.9556125969053872
2015-05-31,0.0,0.0
2015-06-30,-1.0966442653322361,-2.6457201759835014
2015-07-31,0.0,0.0
2015-08-31,-5.2784968536284556,-3.124255236699458
2015-09-30,-7.4695152697705876,-2.814482162191656
2015-10-31,-3.328820744361738,-1.9765708283084105
2015-11-30,-1.7012588550300856,-2.7594794954748814
2015-12-31,-1.18869528258998,-1.8174801173102995
2016-01-31,-4.171691355022499,-0.24133251762847863
2016-02-29,-1.431486418196426,0.0
2016-03-31,-3.3051947328269993,-3.540766656960792
2016-04-30,-3.502736625501668,-3.6891477122729888
2016-05-31,0.0,0.0
2016-06-30,-2.735340216052118,0.0
2016-07-31,-1.6311058983419557,0.0
2016-08-31,-2.29448386593033,-1.1869733490880718
2016-09-30,-3.412803213156146,-2.2167791683721294
2016-10-31,-1.203376360551589,-0.8616401756247227
2016-11-30,0.0,-3.357197366615894
2016-12-31,0.0,-0.5231227234543834
2017-01-31,-2.0289664393386198,-0.7428400124707579
2017-02-28,-1.251040627234845,-1.2006850202700758
2017-03-31,-2.602930003449555,-1.722243791144351
2017-04-30,-0.4984111207852804,0.0
2017-05-31,-0.06933009427604331,0.0
2017-06-30,0.0,0.0
2017-07-31,-0.38525006934352346,-0.46712362522663975
2017-08-31,0.0,0.0
2017-09-30,0.0,0.0
2017-10-31,0.0,0.0
2017-11-30,-0.8686534351660447,-2.579354914291132
2017-12-31,0.0,-1.706984676544454
2018-01-31,0.0,0.0
2018-02-28,-3.020570705132841,-3.0778061723946593
2018-03-31,-7.198452930958399,-4.501324148988017
2018-04-30,-6.064459120955734,-4.664082574153216
2018-05-31,-2.836301121046003,-3.3769977047106714
2018-06-30,0.0,-1.8611334979792726
2018-07-31,0.0,-2.125539185860492
2018-08-31,0.0,-1.600509591610666
2018-09-30,0.0,-3.0619576994234676
2018-10-31,-4.7855185617323155,-5.859637781753824
2018-11-30,-4.782185858421584,-5.28545519355389
2018-12-31,-13.721116072332828,-5.181771176118765
2019-01-31,-6.886939359625222,-2.142845605943755
2019-02-28,-3.339832181161484,-0.416965889001375
2019-03-31,0.0,0.0
2019-04-30,0.0,0.0
2019-05-31,-4.355389037672818,0.0
2019-06-30,-0.5293490923310218,0.0
2019-07-31,0.0,0.0
2019-08-31,0.0,0.0
2019-09-30,0.0,-0.4399125139716964
2019-10-31,-0.715962521223168,-1.4556064794374879
2019-11-30,0.0,-0.5303555257033854
2019-12-31,0.0,-0.008440407467125155
2020-01-31,0.0,0.0
2020-02-29,-6.04015255296011,0.0
2020-03-31,-17.4099046544398,-4.088268533748751
2020-04-30,-6.500813647722348,0.0
2020-05-31,-0.7788463705087678,0.0
2020-06-30,-2.24854369337405,-0.2358966151071007
2020-07-31,0.0,0.0
2020-08-31,0.0,0.0
2020-09-30,-6.01225833183684,-3.0059402825724058
2020-10-31,-10.692254057514328,-7.2211941331749685
2020-11-30,-3.1860054669408555,-4.388823851188195
2020-12-31,-1.1659858730241113,-1.7599119852154677
2021-01-31,0.0,-1.1733358762181512
2021-02-28,0.0,-2.1617534690030027
2021-03-31,0.0,-2.378749141616554
2021-04-30,0.0,-1.859407158638604
2021-05-31,0.0,0.0
2021-06-30,0.0,0.0
2021-07-31,0.0,0.0
2021-08-31,0.0,0.0
