portfolio,market_type,portfolio_return_pct,benchmark_return_pct,active_return_pct,occurrences,above_benchmark_count,below_benchmark_count,total_count,pct_above_benchmark,above_active_return,below_active_return
provided,up,3.494952434828723,3.379973863852132,0.11497857097659066,91,46,45,91,50.54945054945055,0.019556710528705775,-0.017666181882928178
provided,down,-3.3708601195221197,-3.9234765029204115,0.5526163833982924,38,20,18,38,52.63157894736842,0.02132135001048359,-0.012024043028795596
optimized,up,2.9102550948822272,3.379973863852132,-0.4697187689699052,91,38,53,91,41.75824175824176,0.0110740655658258,-0.01600487870309423
optimized,down,-2.197475972168019,-3.9234765029204115,1.7260005307523931,38,31,7,38,81.57894736842105,0.022840144980888405,-0.007452041817375875
