portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
KAW Direct Proxy v2,1,2022-01-31,2022-10-31,2024-03-31,27,-15.69535789760722
KAW Direct Proxy v2,2,2026-06-30,2026-07-31,,3,-7.648563339449199
KAW Direct Proxy v2,3,2026-03-31,2026-03-31,2026-05-31,3,-6.62337791271349
KAW Direct Proxy v2,4,2025-05-31,2025-05-31,2025-06-30,2,-0.35790764629901606
KAW Direct Proxy v2,5,2024-08-31,2024-08-31,2024-09-30,2,-0.1091858145198521
KAW Direct Proxy v2,6,2024-12-31,2024-12-31,2025-01-31,2,-0.036150022543479654
KAW Core,1,2022-01-31,2022-12-31,2024-02-29,26,-14.660233142441847
KAW Core,2,2026-07-31,2026-07-31,,2,-12.596248663653952
KAW Core,3,2025-04-30,2025-05-31,2025-07-31,4,-3.749052738976588
KAW Core,4,2026-03-31,2026-03-31,2026-04-30,2,-3.3946655978097207
KAW Core,5,2024-08-31,2024-08-31,2024-09-30,2,-1.093813297701296
KAW Core,6,2024-04-30,2024-04-30,2024-05-31,2,-0.4234751727525632
KAW Core,7,2025-12-31,2025-12-31,2026-01-31,2,-0.3913308265525606
benchmark,1,2022-01-31,2022-06-30,2023-04-30,16,-13.403043390642145
benchmark,2,2025-02-28,2025-04-30,2025-07-31,6,-8.72712978326009
benchmark,3,2026-07-31,2026-07-31,,2,-8.234183406494811
benchmark,4,2023-09-30,2023-10-31,2023-12-31,4,-5.163046445148256
benchmark,5,2025-12-31,2026-03-31,2026-04-30,5,-1.5483721436609588
benchmark,6,2024-04-30,2024-04-30,2024-05-31,2,-1.4966156802127206
benchmark,7,2023-05-31,2023-05-31,2023-06-30,2,-0.8622364600434529
benchmark,8,2024-07-31,2024-08-31,2024-09-30,3,-0.46211123581547664
benchmark,9,2023-07-31,2023-07-31,2023-08-31,2,-0.2500920282190733
