asset,KAW Direct Proxy v2_risk_contribution_pct,KAW Core_risk_contribution_pct
133690,11.922415204048233,0.0
402970,3.9269926028111732,0.0
069500,21.86534071679131,0.0
168580,5.050040717559575,0.0
200250,3.6752315356629666,0.0
101280,4.337024129683993,0.0
267440,11.908284596047967,0.0
385560,18.927254532664765,0.0
132030,18.38741596473001,0.0
QQQ,0.0,11.940616022992087
SPY,0.0,8.19272516617191
EWY,0.0,18.313629404896062
EEM,0.0,17.710081801694106
EWJ,0.0,3.975990441840345
TLT,0.0,26.530320066312974
GLD,0.0,13.336637096092515
