date,KAW Direct Proxy v2_drawdown_pct,KAW Core_drawdown_pct,benchmark_drawdown_pct
2021-11-30,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0
2022-01-31,-4.152734075605801,-3.334200498194684,-3.8554910040937362
2022-02-28,-4.056140561196109,-3.3593163882977173,-7.475262193375876
2022-03-31,-3.813856983925845,-3.3148039772617266,-2.641650220051428
2022-04-30,-7.723077136814127,-6.2518109778781135,-6.960680823864529
2022-05-31,-9.3180923178098,-9.514361202558486,-8.989746693340795
2022-06-30,-12.375560148625752,-10.683095630939455,-13.403043390642145
2022-07-31,-8.470835784456588,-7.5016670280484306,-4.882167605911592
2022-08-31,-11.000509070533093,-7.663025464908191,-5.444495810446459
2022-09-30,-15.204564783269447,-10.359491464775761,-8.565454400806027
2022-10-31,-15.69535789760722,-11.251177777762821,-1.7230396674590254
2022-11-30,-12.788601184951975,-9.353460165017102,-3.2853838287267956
2022-12-31,-15.353473093661286,-14.660233142441847,-13.336273527968135
2023-01-31,-11.083139409347108,-11.446840728304187,-9.98830381121354
2023-02-28,-11.74456890519615,-9.905349688947606,-6.063095509376437
2023-03-31,-8.755694039346606,-6.50793357323125,-4.1947342952561755
2023-04-30,-7.31632902765088,-3.1415059770383946,0.0
2023-05-31,-8.510847267737699,-4.8251618494785316,-0.8622364600434529
2023-06-30,-8.5529862622841,-2.8476829051276797,0.0
2023-07-31,-7.707093360183337,-4.204365857114556,-0.2500920282190733
2023-08-31,-8.312188273899013,-4.061235747975667,0.0
2023-09-30,-10.447081231576838,-7.255532923774899,-3.074396162702686
2023-10-31,-12.614290010829931,-9.327772548094726,-5.163046445148256
2023-11-30,-8.078793198102652,-6.159353538501577,-1.0845785371064398
2023-12-31,-2.9827979070414234,-0.3415961912435983,0.0
2024-01-31,-3.4675063250561022,-0.3228662900940593,0.0
2024-02-29,-2.4403382592931067,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,-0.4234751727525632,-1.4966156802127206
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,0.0,0.0,-0.17777167993413556
2024-08-31,-0.1091858145198521,-1.093813297701296,-0.46211123581547664
2024-09-30,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0
2024-12-31,-0.036150022543479654,0.0,0.0
2025-01-31,0.0,0.0,0.0
2025-02-28,0.0,0.0,-0.7079090039700864
2025-03-31,0.0,0.0,-4.811213302041084
2025-04-30,0.0,-2.0365091552650205,-8.72712978326009
2025-05-31,-0.35790764629901606,-3.749052738976588,-6.62547467937995
2025-06-30,0.0,-0.7488092346728314,-3.3968889800496282
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,0.0,-0.3913308265525606,-1.5288936878936399
2026-01-31,0.0,0.0,-0.7134922069951255
2026-02-28,0.0,0.0,-1.3262838016641298
2026-03-31,-6.62337791271349,-3.3946655978097207,-1.5483721436609588
2026-04-30,-2.3909455578485894,0.0,0.0
2026-05-31,0.0,0.0,0.0
2026-06-30,-1.8416795437180777,0.0,0.0
2026-07-31,-7.648563339449199,-12.596248663653952,-8.234183406494811
2026-08-31,-5.9762637660230595,-10.609252855175821,-8.163424536463548
