date,asset_133690,asset_402970,asset_069500,asset_168580,asset_200250,asset_101280,asset_267440,asset_385560,asset_132030,asset_QQQ,asset_SPY,asset_EWY,asset_EEM,asset_EWJ,asset_TLT,asset_GLD,KAW Direct Proxy v2,KAW Core,benchmark
2021-11-30,0.06091326031929034,0.007658772239896416,-0.03594799014192229,-0.0006405534381705991,-0.04249737670514164,0.003087015242137836,0.02212781023189936,0.06953548751960104,-0.0024824162184525767,0.040387554680723525,0.011823441397629697,-0.028229006500924747,-0.021646803079801713,-0.010849777603982758,0.048288640615254286,0.012980555320772247,0.013722002163524788,0.015823036932726648,0.011823441397629697
2021-12-31,0.01032328171692476,0.05881665107577172,0.06523272214386466,0.023363138159792296,0.01972602739726037,0.018529204334166938,-0.01359542777970213,-0.01545450175455465,0.0016590626296142386,0.011835683947999387,0.04266355426275559,0.047613717789113386,0.014001214987683364,0.015938557398282427,-0.027861801243863282,0.019890186455156833,0.012695973435620976,0.008055652579897245,0.0455011048045062
2022-01-31,-0.12817844909220566,-0.029044726670347853,-0.08929162528963919,-0.05236126769384941,0.009134873723804393,-0.03789500188845529,-0.02703889035203233,-0.05858945877987454,-0.001242236024844745,-0.10657714294360732,-0.05632761223635807,-0.08150527552564069,-0.020561218967317663,-0.046493543420541794,-0.016071558761125426,0.0005522230095484915,-0.04152734075605806,-0.03334200498194682,-0.03855491004093736
2022-02-28,-0.024365386936290645,-0.009895359417652405,0.009753142510979806,-0.011004626569729004,-0.024760383386581486,-0.010403035854488318,-0.01191013263556795,-0.023027254103674455,0.06227197346600333,-0.019020847471162727,-0.016856486337611387,0.02063493329977284,-0.01666163409084287,-0.0018645732471940235,-0.026189002208798606,0.06229761976885784,0.0010077858087875766,-0.00025982188356658657,-0.03764927635582671
2022-03-31,0.10111880807081208,0.0557151062607697,0.013048564657887729,-0.06388879607043807,0.028938028938028992,-0.01130578512396696,-0.038809241165190356,-0.04520238885202388,0.009679181953009097,0.061458045514108495,0.05224129338714434,-0.0024062712982604317,-0.020168501628430646,-0.007309438044316718,-0.04109260604774245,0.02702531914348727,0.0025252640313557636,0.00046059702159012214,0.05224129338714434
2022-04-30,-0.08333229313594548,0.004787812840043593,-0.028573966599549916,-0.062323755131179714,-0.0018572565667285268,-0.025812491641032498,-0.05709671290138707,-0.09107083287001005,-0.007653652879783479,-0.09484327370804879,-0.04436220019726156,-0.019922037589155228,-0.01668706461151437,-0.037263975125514714,-0.05113920641638159,0.025895318889220587,-0.040642238375594275,-0.03037700828496699,-0.04436220019726156
2022-05-31,-0.06394596729169222,0.0010829542993284758,-0.0019508031822477179,0.0011420305302829448,-0.04837852206273263,-0.007413509060955503,-0.008362720403022661,0.012371543919745598,-0.03529136802742283,-0.039496992096045624,-0.021808692146972675,-0.0035078527026284334,-0.01802409641215541,-0.007119006772335568,-0.0460037632231709,-0.05584417826050314,-0.017285092865098318,-0.03480120798824721,-0.021808692146972675
2022-06-30,-0.048748199764332756,-0.04857204673301596,-0.12888250923861588,0.15430244495988443,-0.04469273743016755,-0.046611341632088465,-0.020829099776468185,-0.08901678222383347,-0.02091577162238556,-0.05535595998864118,-0.04849230209733335,-0.11310654863649927,-0.016465596963859075,-0.039617686535653895,0.02380299353232007,0.020781228138940122,-0.03371640395492499,-0.012916242222672087,-0.04849230209733335
2022-07-31,0.11934546566753323,0.03888573052870958,0.05129193983802538,-0.07184504397667757,0.0888888888888888,0.07079646017699126,0.04814776382691699,0.12275320023877434,-0.029940613658858473,0.13202046213514684,0.09839694278366551,0.04656891369250071,0.002266278659626142,0.06898397279036672,0.030228330377797485,-0.02025330650948476,0.044562046511135836,0.035619557410378366,0.09839694278366551
2022-08-31,-0.005232669344481744,0.02177957754186277,-0.004802241045821387,-0.01735519591141399,0.04779806659505903,0.00047419048909369543,-0.04880704880704878,-0.12470647309890559,-0.02746365105008075,-0.016814455143902896,-0.005911911472131104,-0.008812154364434277,0.022628403346818704,-0.01087656920357094,-0.010812966883988917,0.00587025997631474,-0.0276378934272724,-0.0017444469719112366,-0.005911911472131104
