date,KODEX 200 100%_drawdown_pct
2020-01-31,0.0
2020-02-29,-5.8072193573978526
2020-03-31,-16.568821896072983
2020-04-30,-9.063863546211815
2020-05-31,-5.6921856406187965
2020-06-30,-1.130503768345903
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,-2.8823550685327826
2020-11-30,0.0
2020-12-31,0.0
2021-01-31,0.0
2021-02-28,0.0
2021-03-31,0.0
2021-04-30,0.0
2021-05-31,0.0
2021-06-30,0.0
2021-07-31,-3.0799014431538208
2021-08-31,-4.228893246844678
2021-09-30,-8.309448383366014
2021-10-31,-11.24604012671594
2021-11-30,-14.43656660129733
2021-12-31,-8.855030924724694
2022-01-31,-16.99351335042992
2022-02-28,-16.183939256800926
2022-03-31,-15.09025996882385
2022-04-30,-17.516468044451152
2022-05-31,-17.677377181073062
2022-06-30,-28.287323377080497
2022-07-31,-24.609041082113947
2022-08-31,-24.971086639513253
2022-09-30,-34.18313471111782
2022-10-31,-29.996982953688356
2022-11-30,-25.06914064464224
2022-12-31,-30.866897973550568
2023-01-31,-24.712123497762374
2023-02-28,-25.30296173379596
2023-03-31,-23.462563483682818
2023-04-30,-22.559963795444272
2023-05-31,-19.366923115603164
2023-06-30,-19.392065168200347
2023-07-31,-17.60949363906069
2023-08-31,-20.13375571981697
2023-09-30,-21.79564539649016
2023-10-31,-26.82908432644441
2023-11-30,-18.969678684567793
2023-12-31,-13.68230502338209
2024-01-31,-19.04007643183987
2024-02-29,-14.240458591039362
2024-03-31,-9.179363403228235
2024-04-30,-11.223412279378476
2024-05-31,-12.767134308844962
2024-06-30,-6.627445064615056
2024-07-31,-7.283652637401305
2024-08-31,-11.723739126062238
2024-09-30,-15.560416352390993
2024-10-31,-16.82254739276914
2024-11-30,-20.347463166892933
2024-12-31,-21.760446522854117
2025-01-31,-18.112334691004172
2025-02-28,-17.29521798159602
2025-03-31,-17.084024739779768
2025-04-30,-15.867149394076542
2025-05-31,-10.398752954191192
2025-06-30,0.0
2025-07-31,0.0
2025-08-31,-1.6510301692420848
2025-09-30,0.0
2025-10-31,0.0
2025-11-30,-4.290491950995512
2025-12-31,0.0
