date,KODEX 200 100%_annualized_return_pct
2022-12-31,1.9292891745835705
2023-01-31,5.905168916597048
2023-02-28,7.754991283934909
2023-03-31,13.115986290206138
2023-04-30,10.344787876886286
2023-05-31,10.49195521763524
2023-06-30,8.754515771510851
2023-07-31,7.167296509047971
2023-08-31,5.117178057842886
2023-09-30,4.001544232151311
2023-10-31,2.717141483793206
2023-11-30,1.4059238724994927
2023-12-31,-0.8278810081190136
2024-01-31,-4.255219648700603
2024-02-29,-2.8544497460474383
2024-03-31,-1.3583979474704688
2024-04-30,-2.6942469489131815
2024-05-31,-3.6140404021891115
2024-06-30,-2.2598320783217773
2024-07-31,-1.467200456806017
2024-08-31,-2.679766769899994
2024-09-30,-2.7087389488928526
2024-10-31,-2.139831566057049
2024-11-30,-2.357894369500968
2024-12-31,-4.96186897342874
2025-01-31,-0.4513246009898664
2025-02-28,-0.44391911110115423
2025-03-31,-0.7889070491172379
2025-04-30,0.6621305753059525
2025-05-31,2.8643655550984137
2025-06-30,12.968186029298788
2025-07-31,13.192321246118555
2025-08-31,12.746683238307188
2025-09-30,21.68068699177086
2025-10-31,27.499703199079526
2025-11-30,22.832384663976413
2025-12-31,30.020863908939344
