roll_period_years,KODEX 200 100%_average_pct,KODEX 200 100%_high_pct,KODEX 200 100%_low_pct
1,13.57625142910572,94.22217937594395,-28.287323377080487
3,5.062421201865634,30.020863908939344,-4.96186897342874
5,9.470222646669503,16.53245955282334,3.6877525417621237
7,,,
