date,asset_069500,KODEX 200 100%
2020-01-31,-0.029077604467552476,-0.029077604467552476
2020-02-29,-0.058072193573978526,-0.058072193573978526
2020-03-31,-0.11425082119093743,-0.11425082119093743
2020-04-30,0.08995388199496035,0.08995388199496035
2020-05-31,0.037077426390403456,0.037077426390403456
2020-06-30,0.04837013669821233,0.04837013669821233
2020-07-31,0.06820461384152465,0.06820461384152465
2020-08-31,0.027192488262910874,0.027192488262910874
2020-09-30,0.011042451277926135,0.011042451277926135
2020-10-31,-0.028823550685327826,-0.028823550685327826
2020-11-30,0.1509272361659344,0.1509272361659344
2020-12-31,0.13886821755589351,0.13886821755589351
2021-01-31,0.042302338134606154,0.042302338134606154
2021-02-28,0.014119058002616702,0.014119058002616702
2021-03-31,0.011557275708219183,0.011557275708219183
2021-04-30,0.01830694016367307,0.01830694016367307
2021-05-31,0.011011089367253701,0.011011089367253701
2021-06-30,0.02650527782796086,0.02650527782796086
2021-07-31,-0.030799014431538208,-0.030799014431538208
2021-08-31,-0.01185504163532125,-0.01185504163532125
2021-09-30,-0.04260737162658823,-0.04260737162658823
2021-10-31,-0.0320272011845677,-0.0320272011845677
2021-11-30,-0.03594799014192229,-0.03594799014192229
2021-12-31,0.06523272214386466,0.06523272214386466
2022-01-31,-0.08929162528963919,-0.08929162528963919
2022-02-28,0.009753142510979806,0.009753142510979806
2022-03-31,0.013048564657887729,0.013048564657887729
2022-04-30,-0.028573966599549916,-0.028573966599549916
2022-05-31,-0.0019508031822477179,-0.0019508031822477179
2022-06-30,-0.12888250923861588,-0.12888250923861588
2022-07-31,0.05129193983802538,0.05129193983802538
2022-08-31,-0.004802241045821387,-0.004802241045821387
2022-09-30,-0.12277997453253808,-0.12277997453253808
2022-10-31,0.0636030254412101,0.0636030254412101
2022-11-30,0.07039471321337509,0.07039471321337509
2022-12-31,-0.07737476093010776,-0.07737476093010776
2023-01-31,0.08902789395206745,0.08902789395206745
2023-02-28,-0.007847720821506088,-0.007847720821506088
2023-03-31,0.02463816896667792,0.02463816896667792
2023-04-30,0.01179291767952173,0.01179291767952173
2023-05-31,0.041232427518587134,0.041232427518587134
2023-06-30,-0.0003118081756103841,-0.0003118081756103841
2023-07-31,0.022114095006394052,0.022114095006394052
2023-08-31,-0.030637778455904763,-0.030637778455904763
2023-09-30,-0.020808411509160685,-0.020808411509160685
2023-10-31,-0.06436264266195146,-0.06436264266195146
2023-11-30,0.10741160705081954,0.10741160705081954
2023-12-31,0.06525179186446994,0.06525179186446994
2024-01-31,-0.06207037166491902,-0.06207037166491902
2024-02-29,0.05928387317164052,0.05928387317164052
2024-03-31,0.05901495162708881,0.05901495162708881
2024-04-30,-0.022506436342496494,-0.022506436342496494
2024-05-31,-0.01738884168790711,-0.01738884168790711
2024-06-30,0.07038275305510733,0.07038275305510733
2024-07-31,-0.007027842102428794,-0.007027842102428794
2024-08-31,-0.04788892805813927,-0.04788892805813927
2024-09-30,-0.04346216285494575,-0.04346216285494575
2024-10-31,-0.014947149024862272,-0.014947149024862272
2024-11-30,-0.042378260738143436,-0.042378260738143436
2024-12-31,-0.017739339036015322,-0.017739339036015322
2025-01-31,0.04662746232205395,0.04662746232205395
2025-02-28,0.009978507829290661,0.009978507829290661
2025-03-31,0.0025535795713633735,0.0025535795713633735
2025-04-30,0.014676005943175863,0.014676005943175863
2025-05-31,0.0649971610435407,0.0649971610435407
2025-06-30,0.1538526292160054,0.1538526292160054
2025-07-31,0.05756182972203994,0.05756182972203994
2025-08-31,-0.016510301692420848,-0.016510301692420848
2025-09-30,0.10271218143558558,0.10271218143558558
2025-10-31,0.22360748892140014,0.22360748892140014
2025-11-30,-0.04290491950995512,-0.04290491950995512
2025-12-31,0.09427335107634938,0.09427335107634938
