kind,label,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD,weight_138920
provided,Provided Portfolio,0.1707755226630514,0.11983689386441805,1.1046739514678874,0.2,0.2,0.15,0.15,0.15,0.05,0.05,0.05
optimized,Optimized Portfolio,0.18186391768844232,0.11500000052586352,1.2475572995320916,0.3106284518939602,0.19817120610649144,0.04508432293427264,0.394845041380944,0.027332999425322014,0.0,0.0239379371141512,0.0
benchmark,Benchmark,0.16577787123957938,0.1420142150737028,0.8969738950939736,,,,,,,,
