date,Native Bond 50/50_drawdown,TLT Proxy_drawdown,EDV Proxy_drawdown,ZROZ Proxy_drawdown,benchmark_drawdown
2021-11-30,0.0,0.0,0.0,0.0,0.0
2021-12-31,-0.014524964767128279,-0.02786156444195842,-0.03410265368456433,-0.038156865998155265,0.0
2022-01-31,-0.05671726495597751,-0.04348533857701864,-0.05545436728192965,-0.058171511684685706,-0.03855511797126465
2022-02-28,-0.07319518181531914,-0.06853537883069494,-0.09136954306823042,-0.094266776790077,-0.0747524844751074
2022-03-31,-0.11212637355707056,-0.10681209848323825,-0.13736215497396098,-0.13907227121772125,-0.026416502200514502
2022-04-30,-0.1779034016496701,-0.15248883905065713,-0.21009200773406722,-0.21921042894308262,-0.0696067352223052
2022-05-31,-0.17625558156142773,-0.19147785266650175,-0.2601618235265456,-0.2683574766663491,-0.08989746693340817
2022-06-30,-0.22149804765453296,-0.17223234948031863,-0.24364986713437464,-0.25095022587283355,-0.1340305817089914
2022-07-31,-0.15497468056310137,-0.14721025032913826,-0.22110038852850677,-0.2303297374668566,-0.0488215274025805
2022-08-31,-0.2282863402007015,-0.15643170459561784,-0.2343197942225692,-0.24255406622749653,-0.054444958104464924
2022-09-30,-0.2814362428699314,-0.17520135036907558,-0.26739391329586837,-0.2808941591647729,-0.0856543798540087
2022-10-31,-0.3170607556645657,-0.22901619763534953,-0.337939118310118,-0.359364764046878,-0.01723023349846131
2022-11-30,-0.2651409912493946,-0.22983078803095158,-0.3205887150202271,-0.34324262014956397,-0.03285376222468539
2022-12-31,-0.2678033059433489,-0.2707853949963642,-0.3582748501127402,-0.38106606241176266,-0.1333626629537411
2023-01-31,-0.220926144531997,-0.24986182361598097,-0.3255158560285655,-0.3492097118439198,-0.0998831087875478
2023-02-28,-0.2575520256238234,-0.23591109775562424,-0.32391765693252494,-0.34596777230885,-0.06063087943405843
2023-03-31,-0.22061515607400028,-0.21221086467721695,-0.2955179599618929,-0.3201835241323747,-0.04194726854681918
2023-04-30,-0.22127968922004948,-0.1833960279003023,-0.2710466216952089,-0.2972509892031131,0.0
2023-05-31,-0.25081843300170825,-0.2184553699144689,-0.3111015341075317,-0.3384479912471804,-0.008622213033953274
2023-06-30,-0.2631265274101332,-0.21597068311996237,-0.3034484888857041,-0.3282939728405635,0.0
2023-07-31,-0.26816894875737696,-0.2619870336669998,-0.35389266299646616,-0.37766003794152403,-0.0025010628457037276
2023-08-31,-0.2788004462091903,-0.259048147813674,-0.3615334949064094,-0.3881511937273967,0.0
2023-09-30,-0.31138971724153575,-0.3056520039084314,-0.424662655015586,-0.4547671394845273,-0.03074396502196819
2023-10-31,-0.3413173635489941,-0.34381861767487065,-0.47051024367846483,-0.5044962019695229,-0.05163025457894388
2023-11-30,-0.2738167796262645,-0.31064849167166864,-0.42298754318231824,-0.4505818420081398,-0.010845715795313016
2023-12-31,-0.2089197504805289,-0.24019792585260258,-0.33965876895875924,-0.36730452132549307,0.0
2024-01-31,-0.23261553549333303,-0.24584420278922825,-0.3582209615087899,-0.39377527243447064,0.0
2024-02-29,-0.24964663359670725,-0.25907293699205225,-0.3718645983162887,-0.40686202625871104,0.0
2024-03-31,-0.2348989086336143,-0.2440767787885132,-0.3570790453545333,-0.3935892875590844,0.0
2024-04-30,-0.26640721372370335,-0.2741936478260951,-0.40049683058330277,-0.4417312890668972,-0.014966274842780125
2024-05-31,-0.26024675526151764,-0.2585436675937305,-0.38116595346530324,-0.4231743344436987,0.0
2024-06-30,-0.22766193330740525,-0.23885250571764094,-0.360475127361341,-0.4038147181661683,0.0
2024-07-31,-0.19693800573071818,-0.22204567719796997,-0.3437539285958289,-0.38469901273530216,-0.0017777167993413556
2024-08-31,-0.18604442532647392,-0.2259699546463706,-0.34245635825260745,-0.3783349145617084,-0.004621222689090154
2024-09-30,-0.17488122741539924,-0.2208892142250396,-0.3346647123824116,-0.37297876053417955,0.0
2024-10-31,-0.20207031869179226,-0.22797313641614103,-0.3526929677104905,-0.39184206747766437,0.0
2024-11-30,-0.16440429258482192,-0.20421796545736104,-0.329164075305888,-0.3707848383365273,0.0
2024-12-31,-0.20247245858534224,-0.20824983977788503,-0.35007204228841193,-0.397903748312166,0.0
2025-01-31,-0.19094452101165715,-0.22534315697621754,-0.36718171635803254,-0.421622269768127,0.0
2025-02-28,-0.15414795798857384,-0.17655322590102018,-0.31409154205325784,-0.36856105734969935,-0.0070790887227411
2025-03-31,-0.15838296166343757,-0.17407260442075345,-0.32073505318358686,-0.3770261250495973,-0.0481123365332603
2025-04-30,-0.14875928047107945,-0.21199192504072584,-0.3620998550252762,-0.41622567791707354,-0.08727149385650335
2025-05-31,-0.17760504807193334,-0.26586637242062794,-0.41657705156544445,-0.47190561790425023,-0.06625484311325358
2025-06-30,-0.18169880581971376,-0.2583587972207515,-0.40439934131820476,-0.45972701746862765,-0.033969085938449384
2025-07-31,-0.1775699537155866,-0.24342600174321904,-0.3960510688950686,-0.45435518712129863,0.0
2025-08-31,-0.17780175461109227,-0.24719057617869977,-0.4063974778585657,-0.4679345740241464,0.0
2025-09-30,-0.17879180050766308,-0.20960113313923623,-0.3620123360436839,-0.42358237606978877,0.0
2025-10-31,-0.19133547184451005,-0.1867666012654179,-0.33847328829715084,-0.40186797073009173,0.0
2025-11-30,-0.2152867376203823,-0.1631467252785005,-0.32395684169816186,-0.389471743232893,0.0
2025-12-31,-0.22138019414253451,-0.19384997982431373,-0.35775494261039154,-0.4226296384384043,-0.015288936878936399
2026-01-31,-0.25060394314967493,-0.20386347164335517,-0.36955670781282246,-0.43635187254048813,-0.007134922069951144
2026-02-28,-0.22703262456313344,-0.1648968931699546,-0.3261764820190396,-0.39360432950076985,-0.01326283801664141
2026-03-31,-0.27294198580784845,-0.16057163547078845,-0.3356297074774093,-0.4039541088892451,-0.015483721436609588
2026-04-30,-0.2762422184814416,-0.18385401782213462,-0.3593042623461107,-0.42566006071044526,0.0
2026-05-31,-0.2974096139255765,-0.1676556047653146,-0.3439803727023739,-0.41295879414932024,0.0
2026-06-30,-0.31968054035082194,-0.1279246031959913,-0.30608665032914173,-0.3771591709583605,0.0
2026-07-31,-0.3418324794826749,-0.23580102459670005,-0.4105636786636837,-0.47549716401836395,-0.08234183406494833
2026-08-31,-0.33549000669712536,-0.24869700320229637,-0.41566316580783025,-0.47996955660837126,-0.0816342453646356
