date,asset_267440,asset_385560,asset_TLT,asset_EDV,asset_ZROZ,Native Bond 50/50,TLT Proxy,EDV Proxy,ZROZ Proxy,benchmark
2021-11-30,0.02212781023189936,0.06953548751960104,0.04828851332347428,0.05677703805528034,0.06048928185407121,0.0458316488757502,0.04828851332347428,0.05677703805528034,0.06048928185407121,0.011823657687727751
2021-12-31,-0.01359542777970213,-0.01545450175455465,-0.02786156444195842,-0.03410265368456422,-0.038156865998155154,-0.01452496476712839,-0.02786156444195842,-0.03410265368456422,-0.038156865998155154,0.04550095541166055
2022-01-31,-0.02703889035203233,-0.05858945877987454,-0.01607155273733374,-0.022105572273093732,-0.02080863810220024,-0.04281417456595343,-0.01607155273733374,-0.022105572273093732,-0.02080863810220024,-0.03855511797126465
2022-02-28,-0.01191013263556795,-0.023027254103674455,-0.026188872229527593,-0.03802375929996049,-0.03832466903815612,-0.017468693369621202,-0.026188872229527593,-0.03802375929996049,-0.03832466903815612,-0.037648925258682575
2022-03-31,-0.038809241165190356,-0.04520238885202388,-0.041093047210416844,-0.05061751073262144,-0.04946875446265886,-0.04200581500860712,-0.041093047210416844,-0.05061751073262144,-0.04946875446265886,0.052241137061764586
2022-04-30,-0.05709671290138707,-0.09107083287001005,-0.05113900500650892,-0.08431099235845707,-0.09308349010748107,-0.07408377288569856,-0.05113900500650892,-0.08431099235845707,-0.09308349010748107,-0.04436212519974936
2022-05-31,-0.008362720403022661,0.012371543919745598,-0.04600412998947512,-0.0633868960470293,-0.06294531784887769,0.0020044117583614685,-0.04600412998947512,-0.0633868960470293,-0.06294531784887769,-0.021808768914455934
2022-06-30,-0.020829099776468185,-0.08901678222383347,0.02380330984086787,0.022318335167397674,0.02379201623519811,-0.05492294100015083,0.02380330984086787,0.022318335167397674,0.02379201623519811,-0.048492464499441335
2022-07-31,0.04814776382691699,0.12275320023877434,0.030228409065601092,0.02981354484652954,0.02752886272478361,0.08545048203284566,0.030228409065601092,0.02981354484652954,0.02752886272478361,0.09839730192155183
2022-08-31,-0.04880704880704878,-0.12470647309890559,-0.010813279908721496,-0.01697189920160358,-0.015882553030445945,-0.08675676095297719,-0.010813279908721496,-0.01697189920160358,-0.015882553030445945,-0.005912066834868779
2022-09-30,-0.07025395503746878,-0.0674911839640947,-0.02225029778348908,-0.04319573475158278,-0.05061759688420442,-0.06887256950078174,-0.02225029778348908,-0.04319573475158278,-0.05061759688420442,-0.03300645691336901
2022-10-31,-0.04433001231389233,-0.05482475980241375,-0.06524604191623573,-0.09629350109773216,-0.10912246908043899,-0.04957738605815304,-0.06524604191623573,-0.09629350109773216,-0.10912246908043899,0.0748340067999913
2022-11-30,0.04978329623989697,0.10226467829316377,-0.001056559674929236,0.026206658284363193,0.025165871298552522,0.07602398726653037,-0.001056559674929236,0.026206658284363193,0.025165871298552522,-0.0158974454228894
2022-12-31,-0.010823476902477092,0.0035776932562219255,-0.05317611549377088,-0.05546880943202914,-0.057591194895765474,-0.003622891823127583,-0.05317611549377088,-0.05546880943202914,-0.057591194895765474,-0.10392316777269595
2023-01-31,0.03135927805978578,0.0966859911741802,0.028693297195108824,0.051048325112285076,0.051469710470192664,0.06402263461698299,0.028693297195108824,0.051048325112285076,0.051469710470192664,0.03863156217143948
