portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
SPY Candidate,1,2022-01-31,2022-06-30,2023-04-30,-0.13167404257974324,16
SPY Candidate,2,2025-02-28,2025-04-30,2025-07-31,-0.0872715880079884,6
SPY Candidate,3,2026-07-31,2026-07-31,,-0.0823418340649481,2
SPY Candidate,4,2023-09-30,2023-10-31,2023-12-31,-0.05163025457894366,4
SPY Candidate,5,2025-12-31,2026-03-31,2026-04-30,-0.015483721436609588,5
SPY Candidate,6,2024-04-30,2024-04-30,2024-05-31,-0.014966215822457274,2
SPY Candidate,7,2023-05-31,2023-05-31,2023-06-30,-0.008622439339022847,2
SPY Candidate,8,2024-07-31,2024-08-31,2024-09-30,-0.004621336965177747,3
SPY Candidate,9,2023-07-31,2023-07-31,2023-08-31,-0.0025012008905395122,2
benchmark,1,2022-01-31,2022-12-31,2024-02-29,-0.138344858172479,26
benchmark,2,2026-06-30,2026-07-31,,-0.08939423352289622,3
benchmark,3,2026-03-31,2026-03-31,2026-05-31,-0.053005404388538624,3
benchmark,4,2025-04-30,2025-05-31,2025-07-31,-0.01391181125432761,4
benchmark,5,2024-08-31,2024-08-31,2024-09-30,-0.008831171955664074,2
